pelicula,usuario,instante,voto
105864,4259,2016-06-21 11:40:29,3.0
105864,4301,2016-06-21 11:40:13,4.0
105864,4307,2016-06-21 11:41:11,4.0
105864,4308,2016-06-21 11:41:46,3.0
105864,4342,2016-06-21 11:40:13,3.0
105864,4345,2016-06-21 11:39:43,3.0
105864,4370,2016-06-21 11:39:43,3.0
105864,4378,2016-06-21 11:39:43,3.0
105864,4380,2016-06-21 11:40:53,4.0
258489,10,2016-06-29 00:05:26,5.0
258489,150,2016-06-29 00:00:00,4.0
258489,161,2016-06-29 00:03:38,3.0
258489,185,2016-06-29 00:05:26,4.0
258489,208,2016-06-29 00:05:26,3.0
258489,231,2016-06-29 00:02:45,4.0
258489,253,2016-06-29 00:05:26,1.0
258489,292,2016-06-29 00:03:38,5.0
258489,296,2016-06-29 00:00:00,3.0
258489,316,2016-06-29 00:02:45,3.0
258489,318,2016-06-29 00:03:38,3.0
258489,329,2016-06-29 00:02:45,3.0
258489,339,2016-06-29 00:05:26,2.0
258489,380,2016-06-29 00:00:00,2.0
258489,434,2016-06-29 00:03:38,4.0
258489,457,2016-06-29 00:03:38,3.0
258489,592,2016-06-29 00:00:00,5.0
258489,593,2016-06-29 00:02:45,1.0
258489,595,2016-06-29 00:02:45,5.0
127380,1,2016-06-16 00:00:00,5.0
127380,5,2016-06-16 00:00:28,5.0
127380,7,2016-06-16 00:00:28,5.0
127380,52,2016-06-16 00:00:45,1.0
127380,140,2016-06-16 00:01:05,5.0
127380,186,2016-06-16 00:12:06,3.0
127380,195,2016-06-16 00:12:34,3.0
127380,222,2016-06-16 00:12:34,3.0
127380,236,2016-06-16 00:12:07,5.0
127380,252,2016-06-16 00:12:07,3.0
127380,339,2016-06-16 00:12:06,5.0
127380,539,2016-06-16 00:12:06,5.0
127380,543,2016-06-16 00:14:31,3.0
127380,587,2016-06-16 00:12:34,4.0
127380,590,2016-06-16 00:13:10,3.0
127380,597,2016-06-16 00:12:06,4.0
127380,609,2016-06-16 00:01:58,3.0
127380,626,2016-06-16 00:04:05,2.0
127380,648,2016-06-16 00:00:00,1.0
127380,736,2016-06-16 00:00:00,5.0
127380,780,2016-06-16 00:00:00,3.0
127380,1073,2016-06-16 00:00:45,3.0
127380,1088,2016-06-16 00:13:10,4.0
127380,1265,2016-06-16 00:14:05,4.0
127380,1307,2016-06-16 00:13:10,5.0
127380,1380,2016-06-16 00:13:10,5.0
127380,1381,2016-06-16 00:14:43,5.0
87101,17,2016-06-18 23:10:54,5.0
87101,296,2016-06-18 23:09:13,3.0
87101,356,2016-06-18 23:13:11,4.0
87101,357,2016-06-18 23:12:07,5.0
87101,367,2016-06-18 23:17:35,3.0
87101,534,2016-06-18 23:13:11,3.0
87101,539,2016-06-18 23:12:07,4.0
87101,653,2016-06-18 23:17:59,5.0
87101,1092,2016-06-18 23:15:09,3.0
87101,1188,2016-06-18 23:10:54,5.0
87101,1396,2016-06-18 23:09:30,5.0
87101,1479,2016-06-18 23:13:11,3.0
87101,2006,2016-06-18 23:10:55,5.0
87101,2628,2016-06-18 23:17:35,4.0
87101,2686,2016-06-18 23:14:30,5.0
87101,3044,2016-06-18 23:13:11,5.0
87101,3114,2016-06-18 23:04:06,4.0
87101,3176,2016-06-18 23:15:09,1.0
87101,3264,2016-06-18 23:21:08,5.0
87101,3386,2016-06-18 23:14:30,5.0
87101,3476,2016-06-18 23:14:30,3.0
87101,3793,2016-06-18 23:06:22,5.0
87101,3996,2016-06-18 23:00:47,5.0
9693,5054,2016-06-22 02:54:15,3.0
9693,8645,2016-06-22 02:52:49,5.0
9693,27803,2016-06-22 02:52:25,5.0
9693,44694,2016-06-22 02:52:43,3.5
9693,44788,2016-06-22 02:53:52,4.5
9693,58559,2016-06-22 02:53:33,1.0
9693,63082,2016-06-22 02:52:52,5.0
47933,17,2016-06-22 00:18:01,5.0
47933,62,2016-06-22 00:06:07,3.5
47933,63,2016-06-22 00:14:08,3.0
47933,105,2016-06-22 00:01:02,4.0
47933,158,2016-06-22 00:00:07,2.5
47933,441,2016-06-22 00:08:53,2.5
47933,520,2016-06-22 00:08:55,4.5
47933,531,2016-06-22 00:09:05,3.5
47933,562,2016-06-22 00:09:25,2.5
47933,593,2016-06-22 00:06:37,0.5
47933,608,2016-06-22 00:17:39,4.0
47933,661,2016-06-22 00:01:11,2.0
47933,750,2016-06-22 00:06:12,2.0
47933,783,2016-06-22 00:19:09,1.5
47933,838,2016-06-22 00:16:19,5.0
47933,913,2016-06-22 00:00:25,1.0
47933,920,2016-06-22 00:09:00,5.0
47933,953,2016-06-22 00:00:16,3.5
47933,1031,2016-06-22 00:08:26,4.5
47933,1032,2016-06-22 00:19:55,5.0
47933,1042,2016-06-22 00:08:33,3.5
47933,1104,2016-06-22 00:08:39,3.5
47933,1215,2016-06-22 00:01:23,3.0
47933,1246,2016-06-22 00:08:19,3.5
47933,1270,2016-06-22 00:06:29,4.0
47933,1276,2016-06-22 00:01:28,4.0
47933,1288,2016-06-22 00:08:04,3.0
47933,1302,2016-06-22 00:01:05,1.0
47933,1517,2016-06-22 00:07:55,4.5
47933,1527,2016-06-22 00:06:24,4.5
47933,1569,2016-06-22 00:08:10,3.0
47933,1735,2016-06-22 00:13:25,2.5
47933,1784,2016-06-22 00:06:22,4.5
47933,1962,2016-06-22 00:07:59,3.5
47933,2018,2016-06-22 00:19:51,3.5
47933,2054,2016-06-22 00:07:24,3.0
47933,2080,2016-06-22 00:07:44,4.0
47933,2089,2016-06-22 00:12:44,3.0
47933,2124,2016-06-22 00:07:18,4.5
47933,2162,2016-06-22 00:12:56,2.0
47933,2321,2016-06-22 00:01:40,3.0
47933,2804,2016-06-22 00:00:00,2.0
47933,2918,2016-06-22 00:07:00,4.0
47933,2987,2016-06-22 00:06:19,4.0
47933,3176,2016-06-22 00:06:57,2.5
47933,3264,2016-06-22 00:07:12,4.0
47933,3388,2016-06-22 00:11:42,3.0
47933,3471,2016-06-22 00:00:13,1.5
47933,3717,2016-06-22 00:07:06,3.0
47933,4022,2016-06-22 00:00:10,4.0
47933,4027,2016-06-22 00:01:35,3.5
47933,4090,2016-06-22 00:10:47,3.0
47933,4226,2016-06-22 00:01:13,4.5
47933,4270,2016-06-22 00:06:49,3.0
47933,4306,2016-06-22 00:18:28,4.5
47933,4369,2016-06-22 00:11:05,3.0
47933,4867,2016-06-22 00:10:52,4.5
47933,5299,2016-06-22 00:06:31,5.0
47933,5613,2016-06-22 00:14:35,3.5
47933,5620,2016-06-22 00:10:31,4.0
47933,5686,2016-06-22 00:17:48,3.0
47933,5785,2016-06-22 00:09:34,0.5
47933,6377,2016-06-22 00:18:40,4.0
47933,6493,2016-06-22 00:16:25,3.5
47933,7444,2016-06-22 00:05:52,5.0
47933,7579,2016-06-22 00:17:16,4.0
82695,6,2016-06-08 04:54:33,4.0
82695,15,2016-06-08 05:04:15,3.0
82695,31,2016-06-08 05:02:35,3.0
82695,44,2016-06-08 05:04:19,2.0
82695,145,2016-06-08 05:00:11,3.0
82695,377,2016-06-08 04:56:56,3.5
82695,393,2016-06-08 05:06:02,2.0
82695,442,2016-06-08 05:02:06,3.5
82695,733,2016-06-08 04:53:39,3.0
82695,1370,2016-06-08 04:56:10,3.0
82695,1610,2016-06-08 04:52:20,4.5
82695,1732,2016-06-08 04:53:03,4.5
82695,2000,2016-06-08 04:52:36,4.0
82695,2001,2016-06-08 04:58:10,3.0
82695,2002,2016-06-08 04:59:08,3.0
82695,2019,2016-06-08 04:55:46,4.0
82695,2403,2016-06-08 04:53:55,3.5
82695,2404,2016-06-08 05:04:12,2.5
82695,3992,2016-06-08 04:56:31,3.5
82695,4085,2016-06-08 04:54:51,3.5
82695,4275,2016-06-08 05:03:46,3.0
82695,4673,2016-06-08 05:04:04,3.0
82695,5049,2016-06-08 04:56:04,3.5
82695,5833,2016-06-08 05:00:49,3.0
82695,6333,2016-06-08 04:55:08,3.5
82695,7308,2016-06-08 05:04:28,2.5
82695,26981,2016-06-08 04:59:02,3.0
82695,45447,2016-06-08 04:49:56,2.5
82695,64030,2016-06-08 05:02:38,3.5
82695,67197,2016-06-08 05:03:18,2.5
82695,68554,2016-06-08 04:50:06,2.5
82695,74458,2016-06-08 04:47:17,4.0
82695,79796,2016-06-08 18:02:28,3.0
82695,80917,2016-06-08 05:01:27,2.5
82695,86190,2016-06-08 04:58:08,3.0
82695,91485,2016-06-08 05:02:58,3.5
82695,93838,2016-06-08 04:56:02,3.5
82695,103315,2016-06-06 01:27:00,3.0
82695,103384,2016-06-08 05:03:05,3.0
82695,108689,2016-06-21 04:17:08,2.5
82695,109197,2016-06-10 04:33:42,2.0
82695,109673,2016-06-08 05:03:36,3.0
82695,112818,2016-06-08 05:02:44,3.0
82695,116901,2016-06-05 03:09:18,3.5
82695,130634,2016-06-08 04:59:57,2.5
82695,134130,2016-06-06 04:45:31,4.5
82695,138036,2016-06-06 01:27:10,4.0
82695,150548,2016-06-05 03:04:29,4.0
109414,1544,2016-06-20 04:53:21,2.0
109414,6350,2016-06-25 23:38:33,3.5
109414,78467,2016-06-03 06:09:48,2.0
109414,79091,2016-06-02 01:08:08,3.0
109414,80219,2016-06-02 01:08:29,2.5
109414,81731,2016-06-10 21:24:58,3.5
109414,88125,2016-06-02 01:07:45,3.5
109414,88140,2016-06-10 21:21:10,4.0
109414,88345,2016-06-20 04:54:46,3.0
267935,150,2016-06-01 00:00:00,4.0
267935,153,2016-06-01 00:00:56,4.0
267935,165,2016-06-01 00:02:33,4.0
267935,208,2016-06-01 00:04:06,4.0
267935,231,2016-06-01 00:02:33,4.0
267935,253,2016-06-01 00:04:06,5.0
267935,292,2016-06-01 00:04:06,4.0
267935,296,2016-06-01 00:00:00,3.0
267935,339,2016-06-01 00:02:33,5.0
267935,344,2016-06-01 00:00:56,4.0
267935,357,2016-06-01 00:05:17,3.0
267935,380,2016-06-01 00:00:00,3.0
267935,434,2016-06-01 00:02:33,4.0
267935,588,2016-06-01 00:00:56,4.0
267935,590,2016-06-01 00:00:00,4.0
267935,592,2016-06-01 00:00:00,3.0
267935,595,2016-06-01 00:01:48,4.0
