10,Star Wars Collection
84,Indiana Jones Collection
119,The Lord of the Rings Collection
131,Three Colors Collection
151,Star Trek: The Original Series Collection
230,The Godfather Collection
263,The Dark Knight Collection
264,Back to the Future Collection
295,Pirates of the Caribbean Collection
304,Ocean's Collection
328,Jurassic Park Collection
399,Predator Collection
420,The Chronicles of Narnia Collection
432,Cube Collection
456,Sissi Collection
495,Shaft Collection
498,Heart of Gold Collection
528,The Terminator Collection
529,Wallace & Gromit Collection
556,Spider-Man Collection
645,James Bond Collection
656,Saw Collection
735,Blade Collection
748,X-Men Collection
937,The Pink Panther (Original) Collection
945,Lethal Weapon Collection
1006,Austin Powers Collection
1241,Harry Potter Collection
1565,28 Days/Weeks Later Collection
1570,Die Hard Collection
1575,Rocky Collection
1582,Teenage Mutant Ninja Turtles (Original) Collection
1617,Erkan & Stefan Filmreihe
1657,Zorro Collection
1709,Planet of the Apes Original Collection
1733,The Mummy Collection
1952,USA: Land of Opportunities Collection
1960,Evil Dead Collection
1972,Ju-on Collection
1974,The Grudge Collection
2150,Shrek Collection
2248,Torrente Collection
2326,Underworld Collection
2344,The Matrix Collection
2366,The Jaws Collection
2396,Asterix and Obelix Collection
2467,Tomb Raider Collection
2602,Scream Collection
2643,Aces Go Places Collection
2704,The Bible Collection
2794,The Chronicles of Riddick Collection
2806,American Pie Collection
2883,Kill Bill Collection
2980,Ghostbusters Collection
3106,World of Watches Collection
3167,Ace Ventura Collection
3169,Dr. Dolittle Collection
3292,Tulse Luper
3601,I Know What You Did Last Summer Collection
3963,The Crimson Rivers Collection
4246,Scary Movie Collection
4438,The Space Odyssey Series
4563,The Vengeance Collection
5039,Rambo Collection
5202,Wild Orchid Collection
5547,RoboCop Collection
7505,Elements Trilogy
8050,Highlander Collection
8091,Alien Collection
8354,Ice Age Collection
8385,Aki Kaurismäki's Finland trilogy
8412,Anatomy Collection
8537,Superman Collection
8580,The Karate Kid Collection
8581,A Nightmare on Elm Street Collection
8647,The Skulls Collection
8650,Transformers Collection
8783,Fievel Collection
8819,Casper Collection
8864,Final Destination Collection
8917,Hellraiser Collection
8918,The Hills Have Eyes (Reboot) Collection
8936,Bridget Jones Collection
8945,Mad Max Collection
8979,Wayne's World Collection
9046,A Chinese Ghost Story Collection
9068,The Prophecy Collection
9088,The Little Polar Bear Collection
9309,Winnetou Collection
9328,Free Willy Collection
9329,Young Guns Collection
9332,Crocodile Dundee Collection
9338,Police Academy Collection
9435,Babe Collection
9436,The Crow Collection
9485,The Fast and the Furious Collection
9500,Werner Collection
9518,The Transporter Collection
9521,Look Who's Talking Collection
9649,Mexico Trilogy
9735,Friday the 13th Collection
9743,The Hannibal Lecter Anthology
9744,Fantastic Four Collection
9818,Mortal Kombat Collection
9887,Species Collection
9888,Home Alone Collection
10194,Toy Story Collection
10441,Babylon 5 Collection
10453,Poltergeist Collection
10455,Child's Play Collection
10456,Dirty Harry Collection
10457,Once Upon a Time in China Collection
10517,Le Gendarme de St. Tropez Collection
10522,Starship Troopers Collection
10709,The Mighty Ducks Collection
10713,Universal Soldier Collection
10721,Mimic Collection
10789,Pet Sematary Collection
10893,Critters Collection
10919,The Omen Collection
10924,From Dusk Till Dawn Collection
10964,Flatfoot Collection
11118,The Olsen Gang Collection
11140,Dr. Mabuse Collection
11582,Don Camillo Collection
11716,Addams Family Collection
11794,Ginger Snaps Collection
11875,Pippi Longstocking
12075,Elling Collection
12077,St. Trinian's Collection
12087,Herbie Collection
12141,3 Men (Original) Collection
12203,Drunken Master Collection
12263,The Exorcist Collection
13800,Futurama Collection
14095,Barefoot Gen Collection
14246,Sniper Collection
14377,Death Wish Collection
14563,The Ring Collection
14740,Madagascar Collection
14890,Bad Boys Collection
16302,Battle Royale Collection
17149,20th Century Boys Collection
17178,Jackass Collection
17235,Hellboy Collection
17255,Resident Evil Collection
17368,The Sisterhood of the Traveling Pants Collection
19160,FernGully Collection
19163,The Land Before Time Collection
19262,Trapped in the Closet
19285,Leprechaun Collection (Original Series)
19387,The X-Files Collection
20725,Raaz Collection
20970,Sarkar Collection
21624,Golmaal Collection
23026,Ghost in the Shell Collection
23170,Burnt by the Sun Trilogy
23240,The Garden of Sinners
23453,Tengen Toppa Gurren Lagann Collection
23456,One Piece Collection
23497,Bleach (Collection)
23616,Naruto Collection
24717,Johan Falk GSI Collection
24726,Johan Falk Collection
24761,The Millennium Collection
25410,The Art of War Collection
25542,An American Girl Collection
26863,Caprinos Eventyrlige Verden
30663,Harold & Kumar Collection
31562,The Bourne Collection
32135,The Toxic Avenger Collection
32153,Fallen Collection
33059,Wild Things Collection
33071,Cheech & Chong Collection
33085,The Little Mermaid Collection
33381,The Whistler collection
33514,The Twilight Collection
33878,Destricted
33938,Airport Collection
34055,Pokémon Collection
35792,Nanny McPhee Collection
36694,Bloodsport Collection
37139,Naked Gun Collection
37261,The Carry On Collection
38451,Charlie Chan (Warner Oland) Collection
39199,Detective Conan Collection
39244,Digimon Collection
39438,Emmanuelle Collection
39460,The Water of the Hills Collection
41083,Scuola di ladri - Collezione
41437,Paranormal Activity Collection
41649,The Party Collection
41658,Fantozzi Collection
43055,Conan the Barbarian Collection
43058,Homeward Bound Collection
43063,Half Past Dead Collection
43064,Speed Collection
43066,Teen Wolf Collection
43072,The Mask Collection
43220,National Lampoon’s Van Wilder Collection
43563,Friday Collection
44215,Stargate SG-1 Collection
44722,Munna Bhai Collection
44724,Don Collection
44913,Ghoulies Collection
44917,Swordsman Collection
44976,Dhoom Series
44979,Big Momma's House Collection
45154,Darkman Collection
45355,Kevin Smith: Silent Bob Speaks!
46082,Ma and Pa Kettle Collection
46512,Missing in Action Collection
47391,Sleepaway Camp Collection
47400,Nick Carter Collection
47627,Trancers Collection
47629,Mr. Boogedy Collection
47630,The Falcon Series
47770,Phantasm Collection
47814,The Thin Man Collection
47983,Killer Tomatoes! Collection
48037,Meatballs Collection
48188,Poison Ivy Collection
48190,Revenge of the Nerds Collection
48194,Ator Collection
48317,The Man With No Name Collection
48655,Deathstalker Collection
48802,I Love a Mystery movie series
48829,The Streetfighter Collection
50457,Sex and the City Collection
51509,Meet the Parents Collection
52749,The Butterfly Effect Collection
52760,Urban Legend
52783,Wall Street Collection
52785,xXx Collection
52789,Cruel Intentions Collection
52835,French Fried Vacation
52888,The Visitors Collection
52984,National Treasure Collection
52985,Wrong Turn Collection
52988,Hot Shots! Collection
53043,The Magick Lantern Cycle
53154,Inuyasha Collection
53159,The Santa Clause Collection
55419,Cinderella Collection
55422,Peter Pan Collection
55427,Fantasia Collection
55428,Curious George Collection
