clase;sobreviviente;sexo;edad;tarifa;embarque
primera;1;mujer;29;211,337494;Southampton
primera;1;hombre;0,916700006;151,550003;Southampton
primera;0;mujer;2;151,550003;Southampton
primera;0;hombre;30;151,550003;Southampton
primera;0;mujer;25;151,550003;Southampton
primera;1;hombre;48;26,5499992;Southampton
primera;1;mujer;63;77,9582977;Southampton
primera;0;hombre;39;0;Southampton
primera;1;mujer;53;51,4791985;Southampton
primera;0;hombre;71;49,5042;Cherbourg
primera;0;hombre;47;227,524994;Cherbourg
primera;1;mujer;18;227,524994;Cherbourg
primera;1;mujer;24;69,3000031;Cherbourg
primera;1;mujer;26;78,8499985;Southampton
primera;1;hombre;80;30;Southampton
primera;0;hombre;24;247,520798;Cherbourg
primera;1;mujer;50;247,520798;Cherbourg
primera;1;mujer;32;76,2917023;Cherbourg
primera;0;hombre;36;75,2416992;Cherbourg
primera;1;hombre;37;52,5541992;Southampton
primera;1;mujer;47;52,5541992;Southampton
primera;1;hombre;26;30;Cherbourg
primera;1;mujer;42;227,524994;Cherbourg
primera;1;mujer;29;221,779205;Southampton
primera;0;hombre;25;26;Cherbourg
primera;1;hombre;25;91,0792007;Cherbourg
primera;1;mujer;19;91,0792007;Cherbourg
primera;1;mujer;35;135,633301;Southampton
primera;1;hombre;28;26,5499992;Southampton
primera;0;hombre;45;35,5;Southampton
primera;1;hombre;40;31;Cherbourg
primera;1;mujer;30;164,866699;Southampton
primera;1;mujer;58;26,5499992;Southampton
primera;0;hombre;42;26,5499992;Southampton
primera;1;mujer;45;262,375;Cherbourg
primera;1;mujer;22;55;Southampton
primera;0;hombre;41;30,5;Southampton
primera;0;hombre;48;50,4958;Cherbourg
primera;1;mujer;44;27,7208004;Cherbourg
primera;1;mujer;59;51,4791985;Southampton
primera;1;mujer;60;76,2917023;Cherbourg
primera;1;mujer;41;134,5;Cherbourg
primera;0;hombre;45;26,5499992;Southampton
primera;1;hombre;42;26,2875004;Southampton
primera;1;mujer;53;27,4458008;Cherbourg
primera;1;hombre;36;512,329224;Cherbourg
primera;1;mujer;58;512,329224;Cherbourg
primera;0;hombre;33;5;Southampton
primera;0;hombre;28;47,0999985;Southampton
primera;0;hombre;17;47,0999985;Southampton
primera;1;hombre;11;120;Southampton
primera;1;mujer;14;120;Southampton
primera;1;hombre;36;120;Southampton
primera;1;mujer;36;120;Southampton
primera;0;hombre;49;26;Southampton
primera;0;hombre;36;78,8499985;Southampton
primera;1;mujer;76;78,8499985;Southampton
primera;0;hombre;46;61,1749992;Southampton
primera;1;mujer;47;61,1749992;Southampton
primera;1;hombre;27;53,0999985;Southampton
primera;1;mujer;33;53,0999985;Southampton
primera;1;mujer;36;262,375;Cherbourg
primera;1;mujer;30;86,5;Southampton
primera;1;hombre;45;29,7000008;Cherbourg
primera;0;hombre;27;136,779205;Cherbourg
primera;1;mujer;26;136,779205;Cherbourg
primera;1;mujer;22;151,550003;Southampton
primera;0;hombre;47;25,5874996;Southampton
primera;1;mujer;39;83,1583023;Cherbourg
primera;0;hombre;37;83,1583023;Cherbourg
primera;1;mujer;64;83,1583023;Cherbourg
primera;1;mujer;55;25,7000008;Southampton
primera;0;hombre;70;71;Southampton
primera;1;mujer;36;71;Southampton
primera;1;mujer;64;26,5499992;Southampton
primera;0;hombre;39;71,2833023;Cherbourg
primera;1;mujer;38;71,2833023;Cherbourg
primera;1;hombre;51;26,5499992;Southampton
primera;1;hombre;27;30,5;Southampton
primera;1;mujer;33;151,550003;Southampton
primera;0;hombre;31;52;Southampton
primera;1;mujer;27;52;Southampton
primera;1;hombre;31;57;Southampton
primera;1;mujer;17;57;Southampton
primera;1;hombre;53;81,8582993;Southampton
primera;1;hombre;4;81,8582993;Southampton
primera;1;mujer;54;81,8582993;Southampton
primera;0;hombre;50;106,425003;Cherbourg
primera;1;mujer;27;247,520798;Cherbourg
primera;1;mujer;48;106,425003;Cherbourg
primera;1;mujer;48;39,5999985;Cherbourg
primera;1;hombre;49;56,9291992;Cherbourg
primera;0;hombre;39;29,7000008;Cherbourg
primera;1;mujer;23;83,1583023;Cherbourg
primera;1;mujer;38;227,524994;Cherbourg
primera;1;mujer;54;78,2667007;Cherbourg
primera;0;mujer;36;31,6791992;Cherbourg
primera;1;hombre;36;26,3875008;Southampton
primera;0;hombre;30;27,75;Cherbourg
primera;1;mujer;24;263;Southampton
primera;1;mujer;28;263;Southampton
primera;1;mujer;23;263;Southampton
primera;0;hombre;19;263;Southampton
primera;0;hombre;64;263;Southampton
primera;1;mujer;60;263;Southampton
primera;1;mujer;30;56,9291992;Cherbourg
primera;1;hombre;50;133,649994;Southampton
primera;1;hombre;43;27,7208004;Cherbourg
primera;1;mujer;22;49,5;Cherbourg
primera;1;hombre;60;79,1999969;Cherbourg
primera;1;mujer;48;79,1999969;Cherbourg
primera;0;hombre;37;53,0999985;Southampton
primera;1;mujer;35;53,0999985;Southampton
primera;0;hombre;47;38,5;Southampton
primera;1;mujer;35;211,5;Cherbourg
primera;1;mujer;22;59,4000015;Cherbourg
primera;1;mujer;45;59,4000015;Cherbourg
primera;0;hombre;24;79,1999969;Cherbourg
primera;1;hombre;49;89,1042023;Cherbourg
primera;0;hombre;71;34,6542015;Cherbourg
primera;1;hombre;53;28,5;Cherbourg
primera;1;mujer;19;30;Southampton
primera;0;hombre;38;153,462494;Southampton
primera;1;mujer;58;153,462494;Southampton
primera;1;hombre;23;63,3582993;Cherbourg
primera;1;mujer;45;63,3582993;Cherbourg
primera;0;hombre;46;79,1999969;Cherbourg
primera;1;hombre;25;55,4417;Cherbourg
primera;1;mujer;25;55,4417;Cherbourg
primera;1;hombre;48;76,7292023;Cherbourg
primera;1;mujer;49;76,7292023;Cherbourg
primera;0;hombre;45;83,4749985;Southampton
primera;1;mujer;35;83,4749985;Southampton
primera;0;hombre;40;0;Southampton
primera;1;hombre;27;76,7292023;Cherbourg
primera;1;mujer;24;83,1583023;Cherbourg
primera;0;hombre;55;93,5;Southampton
primera;1;mujer;52;93,5;Southampton
primera;0;hombre;42;42,5;Southampton
primera;0;hombre;55;50;Southampton
primera;1;mujer;16;57,9791985;Cherbourg
primera;1;mujer;44;57,9791985;Cherbourg
primera;1;mujer;51;77,9582977;Southampton
primera;0;hombre;42;52;Southampton
primera;1;mujer;35;52;Southampton
primera;1;hombre;35;26,5499992;Cherbourg
primera;1;hombre;38;90;Southampton
primera;1;mujer;35;90;Southampton
primera;0;mujer;50;28,7124996;Cherbourg
primera;1;hombre;49;0;Southampton
primera;0;hombre;46;26;Southampton
primera;0;hombre;50;26;Southampton
primera;0;hombre;32,5;211,5;Cherbourg
primera;0;hombre;58;29,7000008;Cherbourg
primera;0;hombre;41;51,8624992;Southampton
primera;1;hombre;42;52,5541992;Southampton
primera;1;mujer;45;52,5541992;Southampton
primera;1;mujer;39;211,337494;Southampton
primera;1;mujer;49;25,9291992;Southampton
primera;1;mujer;30;106,425003;Cherbourg
primera;1;hombre;35;512,329224;Cherbourg
primera;0;hombre;42;26,5499992;Southampton
primera;1;mujer;55;27,7208004;Cherbourg
primera;1;mujer;16;39,4000015;Southampton
primera;1;mujer;51;39,4000015;Southampton
primera;0;hombre;29;30;Southampton
