pelicula,usuario,instante,voto
201085,1,2015-10-13 15:07:56,2.0
201085,39,2015-10-13 00:04:34,5.0
201085,110,2015-10-13 15:08:30,4.0
201085,356,2015-10-13 17:29:34,4.0
201085,593,2015-10-13 01:59:59,4.0
201085,597,2015-10-13 00:04:01,5.0
201085,1088,2015-10-13 00:06:05,5.0
201085,1653,2015-10-13 00:03:12,4.0
201085,1704,2015-10-13 15:10:03,4.0
201085,1968,2015-10-16 22:09:49,5.0
201085,2291,2015-10-13 00:03:40,5.0
201085,2572,2015-10-13 00:03:43,4.0
201085,2706,2015-10-13 15:12:22,3.0
201085,3791,2015-10-13 15:13:00,5.0
201085,4700,2015-10-13 00:05:55,4.0
201085,5299,2015-10-13 00:03:46,3.0
201085,5617,2015-10-17 01:01:51,1.0
201085,6266,2015-10-14 00:27:05,4.0
201085,6936,2015-10-13 00:04:14,3.0
201085,8643,2015-10-13 00:02:04,5.0
201085,8808,2015-10-13 15:12:34,5.0
201085,44193,2015-10-13 00:01:21,4.5
201085,45221,2015-10-13 15:10:38,4.0
201085,54503,2015-10-14 00:27:51,4.0
201085,54734,2015-10-14 00:27:00,3.5
201085,56367,2015-10-13 00:03:15,5.0
201085,59315,2015-10-13 15:08:22,4.0
201085,60069,2015-10-13 02:00:05,2.0
201085,63992,2015-10-13 15:12:44,2.0
201085,68135,2015-10-14 00:30:35,3.0
201085,68954,2015-10-13 15:07:52,4.0
201085,69122,2015-10-14 00:25:43,4.0
201085,72407,2015-10-13 00:06:01,4.0
201085,72483,2015-10-13 15:23:46,5.0
201085,72998,2015-10-14 00:25:40,3.5
201085,77414,2015-10-13 15:23:54,5.0
201085,80549,2015-10-14 00:26:47,5.0
201085,80586,2015-10-13 15:13:06,5.0
201085,82152,2015-10-13 17:03:10,4.5
201085,84374,2015-10-13 00:06:07,5.0
201085,88163,2015-10-14 00:27:54,4.0
201085,88405,2015-10-14 00:27:31,4.5
201085,88810,2015-10-14 00:27:33,4.5
201085,89745,2015-10-13 15:08:24,4.0
201085,91104,2015-10-13 01:50:04,2.0
201085,91266,2015-10-13 00:01:47,4.0
201085,92966,2015-10-14 00:26:54,2.0
201085,95510,2015-10-14 00:27:23,4.0
201085,96588,2015-10-13 00:04:26,4.0
201085,96821,2015-10-13 15:12:23,4.0
201085,98203,2015-10-13 15:12:47,2.0
201085,99007,2015-10-13 01:49:57,4.0
201085,100527,2015-10-13 14:53:37,4.0
201085,101577,2015-10-13 15:12:58,5.0
201085,102407,2015-10-13 15:25:17,3.0
201085,102903,2015-10-16 22:09:45,3.5
201085,109483,2015-10-14 00:30:53,5.0
201085,109487,2015-10-13 15:02:36,4.5
201085,109864,2015-10-13 00:00:59,5.0
201085,111617,2015-10-13 14:55:51,3.5
201085,111921,2015-10-13 15:12:41,3.0
201085,112552,2015-10-13 15:10:10,5.0
201085,112556,2015-10-13 15:09:54,3.0
201085,112852,2015-10-13 15:09:50,5.0
201085,113345,2015-10-13 14:49:15,5.0
201085,113604,2015-10-13 14:54:28,5.0
201085,115617,2015-10-13 15:10:05,4.0
201085,116797,2015-10-13 15:08:08,4.0
201085,118496,2015-10-13 00:01:58,5.0
201085,122900,2015-10-13 14:50:40,4.0
201085,122904,2015-10-13 00:00:47,5.0
201085,122924,2015-10-13 00:00:14,5.0
201085,125916,2015-10-13 01:49:36,4.0
201085,126548,2015-10-13 14:55:30,4.0
201085,129354,2015-10-13 01:49:01,5.0
201085,130073,2015-10-13 00:01:35,4.0
201085,132424,2015-10-13 15:48:47,5.0
201085,134130,2015-10-13 15:08:04,4.0
201085,134853,2015-10-13 00:00:44,3.0
201085,139385,2015-10-14 00:25:51,1.0
201085,141648,2015-10-14 00:28:09,5.0
201085,150234,2015-10-13 14:56:22,3.0
201085,150548,2015-10-13 14:50:09,3.0
201085,158428,2015-10-13 14:56:10,3.0
201085,158813,2015-10-13 00:00:00,5.0
206647,3,2015-10-26 00:00:00,2.0
206647,58,2015-10-26 00:01:46,3.5
206647,370,2015-10-26 00:01:41,3.5
206647,420,2015-10-26 00:00:33,3.0
206647,435,2015-10-26 00:00:44,0.5
206647,553,2015-10-26 00:00:19,3.5
206647,832,2015-10-26 00:00:54,0.5
206647,923,2015-10-26 00:00:40,4.0
206647,1080,2015-10-26 00:00:10,3.0
206647,1090,2015-10-26 00:01:55,5.0
206647,1374,2015-10-26 00:00:16,3.5
206647,1485,2015-10-26 00:01:17,0.5
206647,2000,2015-10-26 00:00:51,4.5
206647,2011,2015-10-26 00:00:29,2.0
206647,2406,2015-10-26 00:02:00,3.5
206647,2502,2015-10-26 00:01:50,4.0
206647,2599,2015-10-26 00:01:34,4.5
206647,2640,2015-10-26 00:01:27,3.0
206647,3552,2015-10-26 00:02:47,5.0
206647,8827,2015-10-26 00:02:27,5.0
109491,27539,2015-10-06 17:23:37,4.0
109491,32452,2015-10-06 17:12:31,3.5
109491,58889,2015-10-06 17:22:41,3.5
109491,74450,2015-10-06 17:23:01,1.0
109491,74688,2015-10-06 17:16:27,2.0
187017,1,2015-10-25 19:51:49,0.5
187017,145,2015-10-25 19:49:38,3.5
187017,163,2015-10-25 19:50:15,3.5
