pelicula,usuario,instante,voto
20048,67839,2011-11-05 06:30:57,3.5
20048,86882,2011-11-05 06:30:12,4.0
20048,91542,2011-11-05 06:30:21,4.5
37950,1797,2011-11-06 02:42:34,3.0
37950,3784,2011-11-06 02:41:39,5.0
37950,4232,2011-11-06 02:30:38,4.0
37950,4246,2011-11-06 02:30:20,4.0
37950,4386,2011-11-06 02:31:36,4.0
37950,4700,2011-11-06 02:33:14,4.0
37950,4823,2011-11-06 02:39:39,3.0
45610,47465,2011-11-01 13:17:43,4.5
45610,55363,2011-11-01 01:36:49,3.0
45610,58293,2011-11-13 12:17:20,2.5
45610,62081,2011-11-12 11:08:49,3.5
59108,1,2011-11-02 00:02:47,5.0
59108,2,2011-11-02 00:07:11,5.0
59108,6,2011-11-02 00:08:27,3.0
59108,16,2011-11-02 00:08:27,4.0
59108,21,2011-11-02 00:05:40,3.0
59108,41,2011-11-02 00:16:57,5.0
59108,95,2011-11-02 00:05:40,3.0
59108,112,2011-11-02 00:21:03,5.0
59108,135,2011-11-02 00:15:16,3.0
59108,141,2011-11-02 00:07:11,5.0
59108,150,2011-11-02 00:00:00,4.0
59108,153,2011-11-02 00:01:46,3.0
59108,161,2011-11-02 00:02:48,5.0
59108,165,2011-11-02 00:04:09,3.0
59108,296,2011-11-02 00:00:00,4.0
59108,316,2011-11-02 00:02:47,5.0
59108,318,2011-11-02 00:02:47,5.0
59108,329,2011-11-02 00:04:09,3.0
59108,339,2011-11-02 00:04:09,3.0
59108,344,2011-11-02 00:01:46,3.0
59108,349,2011-11-02 00:01:46,3.0
59108,380,2011-11-02 00:00:00,5.0
59108,434,2011-11-02 00:04:09,4.0
59108,494,2011-11-02 00:10:33,5.0
59108,588,2011-11-02 00:01:46,3.0
59108,590,2011-11-02 00:00:00,5.0
59108,592,2011-11-02 00:00:00,3.0
59108,628,2011-11-02 00:10:33,4.0
59108,640,2011-11-02 00:14:06,2.0
59108,661,2011-11-02 00:14:36,5.0
59108,747,2011-11-02 00:30:19,4.0
55465,1042,2011-11-04 00:00:05,4.0
55465,1271,2011-11-04 00:00:00,5.0
55465,1457,2011-11-04 00:03:03,3.0
55465,1652,2011-11-04 00:16:24,4.0
55465,1663,2011-11-04 00:00:25,3.0
55465,2570,2011-11-04 00:07:31,4.0
55465,2871,2011-11-04 00:00:15,3.5
55465,3100,2011-11-04 00:01:12,4.5
55465,4041,2011-11-04 00:02:13,3.0
55465,4103,2011-11-04 00:02:33,4.5
55465,4643,2011-11-04 00:00:34,3.0
55465,4703,2011-11-04 00:05:05,4.5
55465,6296,2011-11-04 00:03:00,3.0
55465,7247,2011-11-04 00:06:03,4.5
55465,63082,2011-11-04 00:01:43,4.0
10521,5995,2011-11-10 12:29:50,5.0
10521,117895,2011-11-10 12:30:17,3.0
1250,593,2011-11-18 14:58:21,4.5
1250,102123,2011-11-18 14:57:35,4.0
1250,103042,2011-11-18 14:58:10,4.0
1250,103339,2011-11-18 14:58:01,4.0
64328,555,2011-11-22 00:00:00,4.5
64328,910,2011-11-22 00:01:36,5.0
64328,1092,2011-11-22 00:01:43,3.0
64328,1204,2011-11-22 00:01:22,5.0
64328,1252,2011-11-22 00:00:08,5.0
64328,1293,2011-11-22 00:01:59,5.0
64328,2268,2011-11-22 00:00:14,4.0
64328,2427,2011-11-22 00:03:38,5.0
4964,55276,2011-11-25 09:54:54,3.0
4964,55830,2011-11-18 05:49:24,3.0
4964,58998,2011-11-24 04:11:00,4.5
4964,61697,2011-11-26 02:34:48,4.0
4964,64614,2011-11-22 00:58:06,4.5
4964,68159,2011-11-27 22:38:08,3.0
4964,68554,2011-11-20 08:26:32,4.0
4964,68793,2011-11-25 23:07:05,3.0
