,SVMLinear,C50,NNET
hepatitis,0.458174809939516,0.523767082590612,0.441097551685787
iris,0.94,0.92,0.95
cox2,0.35683940709102,0.392445958658784,0.427784822592468
oil,0.957298892167233,0.946610872814442,0.982978723404255
dhfr,0.842189926902351,0.809820436442751,0.843981686203457
German,0.357969830250058,0.378608229746804,0.388412620489012
Seg,0.567465969430804,0.664388004750073,0.578169825764421
Breast,0.92024803708331,0.914643646261184,0.931243421649512
Pima,0.476973939963955,0.457350946202137,0.485749422985114
Sonar,0.489954549038235,0.661161552893888,0.698527891015898
