"CITING","CITED"
5497295,4943137
5653004,4839947
5758472,4113100
5490848,4610684
4615147,2370792
3979372,3857795
4815425,4610225
5121794,4029160
4953371,1490453
5815261,5434666
4806338,4268499
5834327,5436744
5574255,4263472
4981144,3405706
4224146,2959285
4679838,1088471
5629577,3902084
5432544,5022397
5672266,5185488
5229709,4723108
5755286,5062484
5347433,4376950
4848766,4560168
5977977,5363475
5245749,3019517
5032433,4835047
5938438,4752223
5816341,4014392
4072019,3642503
5418825,5125089
5493791,4979345
5030349,4732673
5726043,4940661
5810902,5478173
5553924,4755411
4953782,4821949
5128995,4757533
5464676,3725192
5494086,5163487
5511012,4544919
4824216,4349817
5957931,1782814
4701040,3631773
5375296,2655686
4995014,3308425
4613924,4150421
4517103,4308182
4768327,2915866
5729118,4713595
4438071,4243634
5696787,3404349
5423745,3813729
5578333,5104308
5607743,4508776
5012638,3000176
4017333,3791878
5556201,2574391
5816584,4284285
4988015,4662540
5928073,4024602
5087031,3953026
5470039,3351380
5533570,3004604
5983703,5197192
4080708,2002749
5131175,4817311
5545467,5260006
4842808,4495146
5735835,4496355
5423741,4207887
4006567,2604060
4290368,3371947
5895740,4838991
4415953,3878503
3918422,3221719
5277329,4951866
5970103,5400322
4734061,619263
4968812,4888408
5357084,5090116
4350211,3354966
5851070,4925821
5840798,2999835
5180797,4957997
4057956,3443374
5472215,1346926
5701561,3952702
4480621,3982503
5103940,3109517
4319178,4009429
5742087,3631312
6005968,3986202
5524149,5278900
5723967,4443747
5647412,5060509
4333963,4154914
5963965,5708825
5273419,4890996
4266481,3738850
5690678,3112563
5689705,5310997
4490657,4260938
4190760,4027135
5722968,5227107
4730825,3412995
4810112,4375338
5411142,3421618
4030852,2139780
5350044,4655439
3950100,3732013
5438985,4600015
5314275,3157133
5184572,3099249
5971984,5170790
5391309,4582619
5430558,3784818
5728404,2118225
5364475,3969196
4371031,4295415
5896140,5625379
5860951,5429144
4865026,4577631
4339801,3838264
3905205,2162158
5151813,5009585
5150964,4920467
5269546,3899188
5439768,4410614
5256197,4226630
5034008,4675016
5726811,4998808
5707013,3747850
5325590,3399454
4944208,4549461
5235705,4820291
5339990,5224627
5890387,203842
4482978,4185210
5273391,3848892
4495592,3996562
5699038,4601064
5271500,4040419
4059264,3915447
4904219,3665641
3907844,3507888
4232816,3038650
4891145,3966625
4679685,3624773
3934451,3802948
4376044,3752315
5961482,5013293
4621169,4095039
5847785,5106197
5714929,5475724
4275698,3428032
5310431,2283916
5678179,5153903
5011246,4625333
5737219,4727488
5014863,4218171
5415223,5353864
5390535,4856319
4297654,4081766
5085883,4851392
5860681,5078432
5357574,4156195
5312458,4296185
5196827,3750158
5303142,4878165
4547845,4017822
5057925,4783707
4534080,3278966
4256263,2435605
5397143,4108457
5095943,4624281
4763876,3658295
5311979,4822214
5627663,5059776
5820425,5575698
4937030,4716003
5704343,5309892
5166018,4510224
4309979,4154214
5843450,5527669
4786240,4416594
5228728,2954248
4776442,2753703
4825183,2416170
5633647,4994815
3998953,3896127
5629218,5173753
4404869,3924491
5966299,5138250
5170215,4257053
3956851,3535820
4874013,4582039
5492993,5401822
5753681,4287200
6000411,5185235
5747130,4697718
4114224,3965519
5944748,5269777
5353838,3157199
4772923,4408872
4221344,3910514
5471772,948453
5874525,5350813
5917082,5523457
4847385,3916069
4984334,2639468
5210133,5100956
5195891,4932868
4672790,2253753
5931392,3419220
4583685,688904
5595765,5022150
4855420,4386089
5459536,4059348
5865923,2962182
4996969,4572062
4269925,3953211
4983531,4769337
5941549,4775165
5113825,5040508
5935168,5326370
4227521,3973588
4979441,3353560
4655866,3573123
4087407,3986997
5193535,5074301
4390480,2156390
5279596,4842590
5602787,4050061
5485837,3773048
5513189,5331274
4781038,2003950
4761741,4576419
5624483,4390369
5319780,4480304
4538135,4150731
5714191,4145554
5908296,4743229
3924996,3384035
4980677,4167730
5754356,5182681
5249325,4607412
4455004,3279725
5734981,4791572
5680930,2765100
5356252,5023990
5025797,3561429
5794962,5096218
5136452,4164726
5186744,4547223
5747156,4884260
5323622,3100971
5201624,2836214
4673099,3298597
4601596,4172672
5414314,5237213
5331133,442219
5013378,4191793
4719800,4563734
5600055,3262887
4260100,1425549
4311929,4121118
5330738,4559221
5561040,5108877
5321504,4516152
4744580,1535523
3940653,2700119
5317540,5184326
4993036,4817110
4822799,4459422
4971130,3797167
5962731,4833240
5557685,4539590
5141011,3995770
3998717,3830718
5667949,5389509
5228979,3655551
3937196,3868934
4780701,4314227
5888754,4122158
4840184,3957052
5403648,4290052
5483017,3234288
4068612,2551307
5474582,4515602
5649857,2871632
5805863,5303377
4749527,1959907
5078088,4454833
4711301,4402517
5603800,5176607
5684927,3641496
5617632,4250915
4644487,4456994
5478544,5104631
4998164,4612581
5948018,4738740
5078029,4488458
5965043,5541731
5485197,4523228
5193262,4021973
4544723,3755237
5922707,5547950
5666277,5499178
4194451,3954066
5642513,5077666
4130428,3734735
5680367,4099231
4891527,3936644
5573775,4454151
5102091,4786014
5137441,4874561
5184457,2683963
4736487,1720545
5368311,2013499
5992145,5560204
5472194,4906005
4054012,3282009
5217781,1180750
4074679,2231258
5891002,5487711
5170733,3722441
5511570,2483709
4885915,4403645
5870573,5280598
5994190,5599731
4645923,4342907
5737580,4166279
5650010,4961964
5126332,4582710
5220343,4815872
5299235,4807248
4201634,3824168
4850607,4368897
5573145,2331834
5755026,4884337
5328318,3428733
5196217,2832387
4842369,4756599
4981431,4094447
5921399,3306794
5501012,3268989
4408195,4143264
4099287,3588937
5810568,5478222
4812855,4370657
5547607,3108888
4011383,3681317
5181485,4535731
5403208,4106841
5523117,3114650
5571380,3117944
4995192,1931602
4765458,980158
5794915,5472318
4484381,3114587
4803508,4341953
4149915,3834953
5600240,4292589
4331369,3059986
5695424,4776237
4285994,3527649
4613087,3817463
5717039,3331776
4497301,4345561
4675653,4408511
4657812,4382110
5531646,1115911
5713300,2059009
4297750,2592167
5123549,3712698
4171225,3615732
5064645,4223014
4984600,4825894
5083320,3100498
5827020,5104268
4976682,3964484
5258741,4103524
6002686,5606558
5461795,2247157
4198816,3500807
5795641,4076262
4078604,3780533
4351894,3451867
4753790,4328249
4569378,3339464
4927010,4573578
5559303,4217717
5533761,2962688
4877618,4483846
3916485,3439488
5646263,5186827
4519533,4174802
4197854,3618592
5951598,5137458
5060756,4601364
5680930,4792038
5855798,4721647
4098864,2934400
5260122,4613535
5537181,5245381
5261162,4760646
4226756,3823201
5280235,5051686
3875944,3698394
4172244,2994028
4929312,3522814
5720542,4803904
4454588,4115847
5613495,5025794
5844195,5133284
5350184,5076599
4075021,3961959
5582233,4860552
6007706,5853681
5111999,3721391
4867245,3321028
5977265,3936400
5021005,4818823
4772687,4024123
6000610,5047614
5184083,3319158
5474474,4931754
4756486,3705697
5673100,5276478
4168609,3703081
3941610,2068039
4783966,3795510
6005846,5598411
5540284,1758119
5982568,4532802
5992956,4236773
5743307,4341335
4342988,4173412
4036675,3619344
4868182,4130647
4858899,4588174
5790685,4821023
5592149,5434557
5984957,5507767
5707711,5048863
5977789,4804867
4099231,3389380
4558324,3550139
4984413,3659394
4857904,4538144
5051083,2920172
5793768,5528595
5489138,4723813
4969767,2905364
5623438,5202848
5872167,3993847
4471769,3862632
5415115,4132337
4541464,4142552
4624616,3606953
4627379,2765765
4373246,2563227
5249069,4831420
5186782,4361628
5325917,4108257
4333315,4285977
4888336,4191759
5358204,4484832
5288388,4052285
4707258,4067812
5863580,1398630
5756597,3773718
5667868,5419863
4380011,3918063
5473887,3716996
4437000,3456115
4714728,3674896
4861760,4136173
5666158,4713697
5403316,4641636
5415009,1880735
4884830,4154465
4649227,4386142
3947163,2527536
5974162,5088817
4509637,3292772
4252684,3346512
5205279,3500740
5417022,4129974
5498708,4806632
5048565,2620817
5739462,4664035
5311622,2963713
5552246,4551400
4126885,3678212
4595506,3325016
4981347,4626084
5269950,4291093
5116159,3967907
5057217,3279616
5951206,5006015
5667952,4882266
4861355,4093432
4988751,4240955
4793573,3498574
5836539,5090647
5702730,4074476
4116585,232815
4184721,1499602
5782579,5257652
4120309,2333049
4427415,4167875
4901380,4553276
4569296,4116138
5368877,5204135
5532955,4771404
4752399,2766203
5052695,4515376
5966447,5054069
4476811,3476087
5618546,4438169
5862641,3341998
3981822,3425804
5304964,5071369
5982074,1144012
5517855,4175434
5809273,5185868
5111296,4855813
4947149,3007497
5909571,5162979
5975794,3693511
5720466,5433415
4272102,1000505
5362671,5056895
5905397,5475332
5400430,1368404
5426582,4006627
4643505,2569037
5331246,3949256
5033289,4751842
4463894,3845187
4530356,3734099
5993380,4366901
4483692,2991981
3874066,3777362
3905190,3601261
3917503,3605992
4712001,3805058
5264323,3022168
4725987,4513374
4566855,3256939
5178905,4900694
5933631,5394547
5961101,5535545
4613336,3457022
4717460,4072582
5471159,4968902
4688836,3934907
3909169,3709644
5660415,5468018
5585129,5199792
5720771,4974607
4062379,2308187
5197735,3761091
5943862,4099436
4469788,3902847
3946511,2276776
5596975,4655182
5767963,4188545
4249631,2334980
4850958,4717379
5041278,4698359
5778104,5325186
5470380,5065614
4680320,4487898
4419514,2679453
4313891,3361782
4859024,4112247
3879071,2246436
4932056,4748668
4408521,3841142
5600701,5485500
4293495,3954732
5451996,4456392
5858586,4937161
4110835,4032767
5124103,4449531
5501390,2694852
4040441,3584645
5677809,4638383
5163356,4748902
5343798,4611485
5683495,5254033
4352515,3451710
4985160,3490882
5190517,3693613
5645615,5435819
5024883,4186023
5653323,5423405
4272987,2238609
5678777,2909330
5926887,2758685
4854386,4450912
4624991,4363904
5978253,5621681
5251004,3864037
5279736,4671877
4600863,3566993
3874727,2324318
4341949,3891827
5284031,3472047
5814284,4678643
5645232,4619412
3868467,3615674
5653104,5492094
5021130,4582576
4213022,3327082
5113911,2922437
5741538,4820543
5795363,3734701
4115331,3925328
4116632,3002819
3984193,3246605
5315148,4903103
5219783,5071777
4455412,3846396
4853095,3293160
4702319,4404111
4341402,3957288
5307012,5006667
5637737,5420308
4513141,3852242
3897818,3361517
5405049,3297203
4128537,3926875
5575981,4374101
5618219,784992
5799503,3563053
4236436,4163407
5100057,5014645
5210549,4847639
5591358,4578554
4515741,1034533
5944422,5315092
4780043,3934707
4115808,3932701
5494059,5303723
5562514,5324221
5801893,5617336
5554335,4997468
4810465,3379522
5974123,4932048
5594490,5446490
4858724,3901481
4975647,4364472
5398560,4952875
5137196,4852230
5504265,3573213
5782097,4763488
5620461,4852568
4273035,3276353
5468011,4191392
5117668,4372141
5790710,4741043
4337886,3938583
4543594,4072976
5645531,4401431
4227834,3561223
4989218,2990542
5358054,4942923
4244062,3766570
3964607,2876898
5125741,4632546
5918091,5417322
3918943,3552103
5184250,4465347
5694413,4405433
5201925,4797294
4473181,1172161
4201720,3966788
4754854,3441298
4182059,2617386
5335819,3240395
5378744,5153321
4825379,4352094
5965824,5321991
4601374,3131796
4765779,2745888
5968614,4904508
4178546,3629704
4650011,3475056
5749543,4013161
5288433,4750817
4589243,3271916
4955910,4246660
5687050,4787823
4780332,4374868
5727223,4924409
4804111,3497113
4655861,1336404
5643297,4890611
4854920,4672864
4764586,4482411
4506764,4374550
5168217,4696047
5407746,4076551
5905207,4365518
4080816,3490098
5430627,4544996
5585007,4755301
4970604,4760605
5141775,4353964
4852700,4775033
4274807,2360791
4053492,3630754
4462269,3148144
4128176,3021960
5014440,3273251
5631097,2700615
4153430,1704663
4033480,2430501
5738075,3175771
5627425,4350918
5446980,5065326
6002541,3881184
4485059,3830611
5528709,5400224
4433761,3137374
5542003,4353092
5848311,5555045
4461062,3296687
5530390,4291386
4192230,4147438
5680899,5335730
4338950,4280506
4558275,3882378
5437928,4391876
5987862,5086582
5198204,3989801
5073827,4563706
5846445,3876191
5497791,4570646
5484663,2653128
4601376,4300669
5161882,4959761
5280783,4825852
5021164,4116820
4694814,4244344
5039031,2567392
5829619,4958655
5848933,5219464
5070177,3030331
3961142,2506279
5261346,4522145
5863291,5323768
4034140,3730932
5676349,3599937
5519625,4773083
5736343,3979509
4297731,3668492
5894939,5314072
4956847,4639926
5168980,3881592
5627347,5231381
4834998,4532140
4009713,2641508
5403028,4673053
4338441,4198409
5851324,5263526
4578431,4061694
5450948,3181693
5002268,3424133
5547289,3659910
5203888,4650500
5813987,5054926
5646794,4276547
5039974,3470519
5910936,5732054
4963746,4047037
4902764,4309329
5509357,4145972
5581774,5202967
5723175,3826127
5884922,474138
4770233,4319125
5602847,5289464
4168551,1880912
5828164,5545945
4713799,4190784
4736469,3904469
5143445,3627974
5558628,1635638
4024861,3762404
4245376,4064603
5834364,4257825
4014126,2775838
4714648,4500582
5019729,4767942
5340108,3513707
4829995,4754750
5850582,4712908
5660466,4086663
4106752,3333819
4706772,3851351
4975070,3668601
4127481,3930105
4270880,1818358
5720193,4299045
4719892,2706577
5347402,2471954
4504021,3514682
4899621,4716786
4829554,4562572
5482201,4634000
5981965,3674925
5890910,5325423
4735983,3842033
5382990,5011277
5105098,3369127
4392546,4228984
5963659,5550932
5997918,5648110
5958062,5765151
5867900,4312961
5260565,4560867
5877876,5182665
5487470,4597244
4822703,3962141
4651255,1878107
5937489,2941727
4818348,4399684
4972892,2821248
4302935,4228653
4679469,4305472
4440494,3817618
5473502,4261025
5708907,5083158
4331203,3513911
4747059,4473890
5069817,3905910
5676649,5531722
4420933,3935705
4972556,2968849
5310828,2952663
5491968,4240784
5542497,5273133
5017328,2719017
3942046,3089098
4784463,4640124
4218869,3763643
5647613,1793886
5338540,4445521
4948630,4515829
4890416,1850763
5769825,4464174
4759278,4399746
5026468,3349017
4600681,4396710
3935625,3603698
4733793,3187932
5531779,3749101
5118696,4853395
5352797,3346588
5288616,5155037
4815541,3283785
5228863,4439815
4290589,3941160
4968046,414459
4562620,1712680
4646437,973582
3909666,3713018
4232949,3833287
5099757,2222146
4920922,3125065
4908926,4413396
5879057,4296970
4684139,3154615
5311850,4955409
5567140,3680990
5207533,4787463
5022886,3075677
4682885,4498742
5565221,3363875
5685862,5066281
5906003,5581513
4508689,4399113
4249256,3492514
4234626,3703603
5300050,4533353
5736537,4496556
4231106,4072852
5456375,4346811
5887166,5404898
5673323,4654859
4667817,3087679
5881807,2381929
4879615,4502133
5970341,5595927
5366977,4968672
5983925,5584317
4528739,4007540
5411094,4938286
4966298,3683549
5395228,1000089
5006812,4190808
5630889,4848647
4785861,4545415
5244508,4293731
4113466,3589622
4043736,3785762
5206570,4639652
5575994,4883792
5878009,5345434
5611348,4856531
4488495,38777
5501949,4637978
4707047,2949642
5437416,4832275
4826157,4546967
4102033,3695337
5543009,5248998
4582583,4409924
6003295,4487012
4209949,2787090
4711388,4372792
4579212,3684070
5243912,4942816
5673996,5143465
4019867,3871842
5991332,5416797
5985408,4847147
4784870,3295466
4031282,1193843
4089913,3778490
4173995,2115660
4726325,4369738
3970738,2631085
5198131,4994150
5561321,5126102
5685877,5449356
5757016,5204517
5904535,5060035
4728181,2237282
5744000,5573639
5896863,5404892
4343426,4171002
4144302,3233025
5532574,4486801
4931242,3843301
4333851,3745154
4077837,3753853
5754997,4476594
4946850,4298612
4872255,3886639
5460273,5096360
4433656,2102514
4834273,3682360
4369687,4028985
4668436,3330626
4754330,4467359
4042958,3609227
4045947,3722223
5024127,2730103
4343727,1409301
5699494,5226112
3909984,3203139
4320642,2723145
5122753,4709366
5180186,4757884
5349925,2349283
5417703,5042984
5884757,5487464
5870337,4720816
4744533,4057207
5121555,4338723
5488340,4354662
5938040,5505316
3908916,2050718
4931665,4644249
5924385,5752472
5403387,3323292
5211838,4206035
4420753,3680384
5701140,2906179
5947754,4908335
5742556,5548553
5788536,5468162
4458248,3867710
5795273,2875528
5463556,3925850
5693535,5149796
5817543,5426566
5585714,4728168
4276584,1604213
5670872,4862486
5812740,4612618
4694625,2142692
5025797,4817631
6007918,5252534
5139073,4244544
4739455,4122510
5243266,4983797
4397931,4297425
5375486,4451073
4982266,3961414
4424018,1069530
5051222,4452750
5492231,5386917
5480586,4556509
5954413,1112296
3893424,2883994
5412681,5058122
5476458,3452753
5904851,4956080
4545288,3148595
5389502,4040833
5931487,4480711
5481623,4276473
4880097,4034193
5108093,4316609
5948835,4006031
4799206,4489406
4675940,1596470
5382388,4990787
4691760,3736764
5468034,3385625
5850913,1220515
4681893,4262013
5062239,1154627
5997675,4293456
5430839,5179655
5107738,2625965
5245494,3683515
5674606,4545926
5997519,4587213
5673075,5276459
4559004,3008211
5633480,5095628
5150970,3920180
5990717,5017808
5473422,5305069
4023308,2988441
5805179,4800398
5602744,4758836
5553440,2575854
4096229,2613397
4150887,3039022
4640496,2635015
5602741,4677555
4343610,2358016
4035624,3552872
4797528,4168562
5521357,2786925
5291674,5200239
5029668,2658580
4201585,4013471
5337275,5224070
5768581,5386503
5960252,5506748
4569789,4410542
5234255,3099485
4616766,4278716
5188792,3016575
5654834,1688370
5665630,4819052
5476829,2800457
4169367,3312100
5209535,4143901
4398341,4180596
5225598,4503253
5367431,3766439
5049304,3429914
5483177,4783601
5720887,4396513
5012675,4646240
5486477,4485175
4474888,4131429
4260002,3882912
5736019,3945911
3936870,3719771
4329842,3992891
4594993,4174689
5387183,4572167
5474374,364479
4920795,4329879
4010233,3821070
4442065,4009579
5276485,4096826
5915585,2891713
5423014,4888688
4898454,4814211
3878534,3535500
5600200,5283500
5888087,4916441
5458983,4925908
4411628,4005293
4014846,3475366
4948536,4495911
5446386,5008626
5278758,4829176
4819735,3210112
5776227,5632808
5784671,5353100
5585481,5324831
5426894,3667192
5468406,4313890
5060327,4703975
4270219,3846707
4483273,3509810
4349965,3501240
5099275,3689149
5522003,4595557
5573142,4005804
3880368,3530772
4708588,4378960
4528484,3924146
5353116,5270796
5119733,4794864
5600680,5128626
5945592,5394236
5418804,3993963
5758428,1825759
5519884,5093927
5802229,5267993
5557177,4222638
5714493,4322420
5972583,5614355
5985698,4194283
6000151,4633957
5707940,4770803
4585675,3385723
4893015,3943458
3949851,3817365
5414255,4873469
4616166,3848166
5858568,5332630
5304006,3840080
5807748,5008205
4439001,4253722
5414631,4760396
5100661,4870161
5199625,4765057
5219286,4931016
5219663,2999844
5150924,4498691
5719962,5016010
5184860,1169004
5353304,4234930
4484223,4189232
4517399,4105541
5610588,5207178
5769791,4299230
5100476,4339340
5393627,4861691
5783807,5155339
5556858,5364866
5183175,3734340
4536319,3707535
5073877,4078620
6009541,5765198
5289990,4162048
4489018,2841863
5858469,4568019
4941161,4622481
4912623,4118789
4578797,3855422
4775172,4266815
5177670,4567542
4246885,4150547
5458964,4568616
5060100,4194225
5451721,4710854
5573108,4571039
4827559,3862469
4414315,2714066
3868499,3349241
4572131,4417554
5689980,2916905
4349081,3327807
4839291,4717661
4365180,3657582
4809416,4311026
6001836,5554621
5116506,4416993
4644925,1347631
5606152,4410592
4342491,1767411
4336946,4020910
4000444,3486140
4465482,3621848
4884799,4615523
4796056,4455081
5943193,5396385
4868182,4584299
5426594,5036314
4915672,4494941
5288261,4952190
5804217,3873694
4536323,3493048
4892750,3937180
3902486,838434
4364749,3057137
5895631,5108703
4450116,3976589
4609336,2847703
4110126,3971059
4779915,4611847
5823616,1928508
5328619,3284409
5538185,3679325
5792467,4978686
5244926,3452119
5728801,5256945
4554599,4280136
4966721,3189650
4931076,4591372
5642797,3205989
5014168,2070088
6007608,3822531
3905308,2811932
5776578,4684552
4770657,2064431
4893592,3450110
5328960,4080304
4646214,4321659
5614164,4460454
5791983,5004483
4565591,4514435
5524284,4636015
4360041,2471301
4931679,4368938
4492566,4402667
5739956,5453809
4969972,2647555
