Pais,Anho,NumPatentes,TotalCitas,MediaCitas,MaxCitas
Algeria,1963,2,7,3.5,4
Algeria,1968,1,2,2.0,2
Algeria,1970,1,2,2.0,2
Algeria,1972,1,1,1.0,1
Algeria,1977,1,2,2.0,2
Andorra,1987,1,3,3.0,3
Andorra,1993,1,1,1.0,1
Andorra,1998,1,1,1.0,1
Antigua,1978,1,6,6.0,6
Antigua,1979,1,14,14.0,14
Antigua,1991,1,8,8.0,8
Antigua,1994,1,19,19.0,19
Antigua,1995,2,12,6.0,11
Antigua,1996,2,3,1.5,2
Argentina,1963,14,35,2.5,7
Argentina,1964,20,60,3.0,8
Argentina,1965,10,35,3.5,10
Argentina,1966,16,44,2.75,9
Argentina,1967,13,60,4.615384615384615,14
Argentina,1968,14,80,5.714285714285714,21
Argentina,1969,12,55,4.583333333333333,14
Argentina,1970,20,81,4.05,15
Argentina,1971,15,80,5.333333333333333,15
Argentina,1972,23,136,5.913043478260869,26
Argentina,1973,28,119,4.25,10
Argentina,1974,21,94,4.476190476190476,10
Argentina,1975,19,72,3.789473684210526,14
Argentina,1976,22,144,6.545454545454546,50
Argentina,1977,18,94,5.222222222222222,14
Argentina,1978,21,145,6.904761904761905,16
Argentina,1979,19,96,5.052631578947368,12
Argentina,1980,15,95,6.333333333333333,16
Argentina,1981,24,104,4.333333333333333,13
Argentina,1982,12,67,5.583333333333333,15
Argentina,1983,19,132,6.947368421052632,32
Argentina,1984,17,91,5.352941176470588,14
Argentina,1985,6,37,6.166666666666667,15
Argentina,1986,14,73,5.214285714285714,11
Argentina,1987,17,83,4.882352941176471,24
Argentina,1988,15,63,4.2,19
Argentina,1989,15,84,5.6,16
Argentina,1990,13,36,2.769230769230769,7
Argentina,1991,15,52,3.466666666666667,10
Argentina,1992,18,61,3.388888888888889,11
Argentina,1993,17,148,8.705882352941176,67
Argentina,1994,24,261,10.875,106
Argentina,1995,20,57,2.85,6
Argentina,1996,16,67,4.1875,18
Argentina,1997,15,28,1.8666666666666667,5
Argentina,1998,13,29,2.230769230769231,11
Armenia,1995,1,2,2.0,2
Aruba,1996,1,5,5.0,5
Australia,1963,46,186,4.043478260869565,29
Australia,1964,63,259,4.111111111111111,13
Australia,1965,85,337,3.9647058823529413,29
Australia,1966,91,420,4.615384615384615,31
Australia,1967,104,531,5.105769230769231,26
Australia,1968,100,469,4.69,27
Australia,1969,116,560,4.827586206896552,25
Australia,1970,111,486,4.378378378378378,22
Australia,1971,168,857,5.101190476190476,32
Australia,1972,155,1043,6.7290322580645165,67
Australia,1973,175,902,5.154285714285714,38
Australia,1974,204,1297,6.357843137254902,51
Australia,1975,211,1389,6.5829383886255926,55
Australia,1976,233,1517,6.510729613733906,48
Australia,1977,225,1429,6.351111111111111,48
Australia,1978,255,1466,5.749019607843137,58
Australia,1979,190,1097,5.773684210526316,51
Australia,1980,238,1591,6.684873949579832,70
Australia,1981,284,1843,6.48943661971831,55
Australia,1982,234,1462,6.247863247863248,39
Australia,1983,217,1385,6.382488479262673,63
Australia,1984,263,1572,5.977186311787072,35
Australia,1985,298,1788,6.0,59
Australia,1986,324,1834,5.660493827160494,59
Australia,1987,352,2204,6.261363636363637,81
Australia,1988,368,2022,5.494565217391305,44
Australia,1989,430,2275,5.290697674418604,64
Australia,1990,353,1973,5.589235127478753,45
Australia,1991,377,1939,5.143236074270557,72
Australia,1992,330,1662,5.036363636363636,46
Australia,1993,300,1592,5.306666666666667,71
Australia,1994,356,1355,3.806179775280899,47
Australia,1995,308,1245,4.042207792207792,48
Australia,1996,282,695,2.4645390070921986,23
Australia,1997,211,390,1.8483412322274881,12
Australia,1998,117,170,1.452991452991453,4
Australia,1999,11,11,1.0,1
Austria,1963,58,277,4.775862068965517,31
Austria,1964,61,161,2.639344262295082,19
Austria,1965,99,349,3.525252525252525,21
Austria,1966,100,343,3.43,16
Austria,1967,118,432,3.6610169491525424,25
Austria,1968,125,516,4.128,25
Austria,1969,135,521,3.859259259259259,22
Austria,1970,152,642,4.223684210526316,23
Austria,1971,204,833,4.083333333333333,17
Austria,1972,235,1256,5.3446808510638295,37
Austria,1973,200,1057,5.285,55
Austria,1974,251,1469,5.852589641434263,37
Austria,1975,282,1464,5.191489361702128,21
Austria,1976,267,1543,5.7790262172284645,71
Austria,1977,210,1110,5.285714285714286,21
Austria,1978,242,1316,5.43801652892562,51
Austria,1979,193,1169,6.05699481865285,31
Austria,1980,228,1185,5.197368421052632,29
Austria,1981,235,1333,5.672340425531915,46
Austria,1982,197,1140,5.786802030456853,67
Austria,1983,235,1422,6.051063829787234,93
Austria,1984,215,1169,5.437209302325582,26
Austria,1985,273,1441,5.278388278388278,22
Austria,1986,310,1606,5.180645161290323,45
Austria,1987,305,1581,5.18360655737705,38
Austria,1988,290,1423,4.906896551724138,39
Austria,1989,330,1676,5.078787878787879,40
Austria,1990,318,1404,4.415094339622642,30
Austria,1991,285,1116,3.9157894736842107,18
Austria,1992,286,1079,3.772727272727273,26
Austria,1993,240,826,3.441666666666667,20
Austria,1994,196,622,3.173469387755102,18
Austria,1995,211,596,2.824644549763033,16
Austria,1996,186,420,2.2580645161290325,17
Austria,1997,145,218,1.5034482758620689,4
Austria,1998,73,96,1.3150684931506849,5
Austria,1999,14,14,1.0,1
Azerbaijan,1996,1,4,4.0,4
Bahamas,1963,2,4,2.0,3
Bahamas,1964,3,6,2.0,2
Bahamas,1965,1,4,4.0,4
