"TIME","GEO","SEX","INDIC_EM","Value"
"2004","European Union (28 countries)","Total","Total population","486 299.4"
"2004","European Union (28 countries)","Total","Population (15 to 64 years)","326 881.9"
"2004","European Union (28 countries)","Total","Active population","230 158.9"
"2004","European Union (28 countries)","Total","Growth of active population","0.9"
"2004","European Union (28 countries)","Total","Activity rate (15 to 64 years)","69.3"
"2004","European Union (28 countries)","Total","Activity rate (15 to 24 years)","44.3"
"2004","European Union (28 countries)","Total","Activity rate (20 to 64 years)","73.9"
"2004","European Union (28 countries)","Total","Activity rate (25 to 54 years)","83.4"
"2004","European Union (28 countries)","Total","Activity rate (55 to 64 years)","43.5"
"2004","European Union (28 countries)","Total","Youth unemployment ratio 15-24","8.3"
"2004","European Union (28 countries)","Males","Total population","236 862.7"
"2004","European Union (28 countries)","Males","Population (15 to 64 years)","162 926.6"
"2004","European Union (28 countries)","Males","Active population","127 658.9"
"2004","European Union (28 countries)","Males","Growth of active population","0.4"
"2004","European Union (28 countries)","Males","Activity rate (15 to 64 years)","77.0"
"2004","European Union (28 countries)","Males","Activity rate (15 to 24 years)","47.8"
"2004","European Union (28 countries)","Males","Activity rate (20 to 64 years)","82.3"
"2004","European Union (28 countries)","Males","Activity rate (25 to 54 years)","91.5"
"2004","European Union (28 countries)","Males","Activity rate (55 to 64 years)","53.9"
"2004","European Union (28 countries)","Males","Youth unemployment ratio 15-24","8.8"
"2004","European Union (28 countries)","Females","Total population","249 435.3"
"2004","European Union (28 countries)","Females","Population (15 to 64 years)","163 955.3"
"2004","European Union (28 countries)","Females","Active population","102 500.1"
"2004","European Union (28 countries)","Females","Growth of active population","1.5"
"2004","European Union (28 countries)","Females","Activity rate (15 to 64 years)","61.7"
"2004","European Union (28 countries)","Females","Activity rate (15 to 24 years)","40.7"
"2004","European Union (28 countries)","Females","Activity rate (20 to 64 years)","65.7"
"2004","European Union (28 countries)","Females","Activity rate (25 to 54 years)","75.4"
"2004","European Union (28 countries)","Females","Activity rate (55 to 64 years)","33.7"
"2004","European Union (28 countries)","Females","Youth unemployment ratio 15-24","7.7"
"2004","European Union (27 countries)","Total","Total population","482 084.1"
"2004","European Union (27 countries)","Total","Population (15 to 64 years)","324 131.3"
"2004","European Union (27 countries)","Total","Active population","228 347.0"
"2004","European Union (27 countries)","Total","Growth of active population","0.9"
"2004","European Union (27 countries)","Total","Activity rate (15 to 64 years)","69.3"
"2004","European Union (27 countries)","Total","Activity rate (15 to 24 years)","44.3"
"2004","European Union (27 countries)","Total","Activity rate (20 to 64 years)","74.0"
"2004","European Union (27 countries)","Total","Activity rate (25 to 54 years)","83.4"
"2004","European Union (27 countries)","Total","Activity rate (55 to 64 years)","43.6"
"2004","European Union (27 countries)","Total","Youth unemployment ratio 15-24","8.2"
"2004","European Union (27 countries)","Males","Total population","234 850.6"
"2004","European Union (27 countries)","Males","Population (15 to 64 years)","161 570.0"
"2004","European Union (27 countries)","Males","Active population","126 672.6"
"2004","European Union (27 countries)","Males","Growth of active population","0.4"
"2004","European Union (27 countries)","Males","Activity rate (15 to 64 years)","77.0"
"2004","European Union (27 countries)","Males","Activity rate (15 to 24 years)","47.8"
"2004","European Union (27 countries)","Males","Activity rate (20 to 64 years)","82.3"
"2004","European Union (27 countries)","Males","Activity rate (25 to 54 years)","91.5"
"2004","European Union (27 countries)","Males","Activity rate (55 to 64 years)","54.0"
"2004","European Union (27 countries)","Males","Youth unemployment ratio 15-24","8.8"
"2004","European Union (27 countries)","Females","Total population","247 232.0"
"2004","European Union (27 countries)","Females","Population (15 to 64 years)","162 561.3"
"2004","European Union (27 countries)","Females","Active population","101 674.5"
"2004","European Union (27 countries)","Females","Growth of active population","1.5"
"2004","European Union (27 countries)","Females","Activity rate (15 to 64 years)","61.7"
"2004","European Union (27 countries)","Females","Activity rate (15 to 24 years)","40.8"
"2004","European Union (27 countries)","Females","Activity rate (20 to 64 years)","65.7"
"2004","European Union (27 countries)","Females","Activity rate (25 to 54 years)","75.4"
"2004","European Union (27 countries)","Females","Activity rate (55 to 64 years)","33.8"
"2004","European Union (27 countries)","Females","Youth unemployment ratio 15-24","7.6"
"2004","European Union (15 countries)","Total","Total population","379 339.0"
"2004","European Union (15 countries)","Total","Population (15 to 64 years)","252 908.1"
"2004","European Union (15 countries)","Total","Active population","181 254.0"
"2004","European Union (15 countries)","Total","Growth of active population","1.0"
"2004","European Union (15 countries)","Total","Activity rate (15 to 64 years)","70.6"
"2004","European Union (15 countries)","Total","Activity rate (15 to 24 years)","47.6"
"2004","European Union (15 countries)","Total","Activity rate (20 to 64 years)","74.8"
"2004","European Union (15 countries)","Total","Activity rate (25 to 54 years)","83.8"
"2004","European Union (15 countries)","Total","Activity rate (55 to 64 years)","45.5"
"2004","European Union (15 countries)","Total","Youth unemployment ratio 15-24","7.6"
"2004","European Union (15 countries)","Males","Total population","185 336.4"
"2004","European Union (15 countries)","Males","Population (15 to 64 years)","126 372.0"
"2004","European Union (15 countries)","Males","Active population","101 104.3"
"2004","European Union (15 countries)","Males","Growth of active population","0.3"
"2004","European Union (15 countries)","Males","Activity rate (15 to 64 years)","78.6"
"2004","European Union (15 countries)","Males","Activity rate (15 to 24 years)","50.9"
"2004","European Union (15 countries)","Males","Activity rate (20 to 64 years)","83.4"
"2004","European Union (15 countries)","Males","Activity rate (25 to 54 years)","92.4"
"2004","European Union (15 countries)","Males","Activity rate (55 to 64 years)","55.9"
"2004","European Union (15 countries)","Males","Youth unemployment ratio 15-24","7.9"
"2004","European Union (15 countries)","Females","Total population","194 002.6"
"2004","European Union (15 countries)","Females","Population (15 to 64 years)","126 536.1"
"2004","European Union (15 countries)","Females","Active population","80 150.0"
"2004","European Union (15 countries)","Females","Growth of active population","1.8"
"2004","European Union (15 countries)","Females","Activity rate (15 to 64 years)","62.7"
