prog   ingcom  ingsof  sist  estad
             36             58             43             36             37
             62             54             50             46             52
             31             42             41             40             29
             76             78             69             66             81
             46             56             52             56             40
             12             42             38             38             28
             39             46             51             54             41
             30             51             54             52             32
             22             32             43             28             22
              9             40             47             30             24
             32             49             54             37             52
             40             62             51             40             49
             64             75             70             66             63
             36             38             58             62             62
             24             46             44             55             49
             50             50             54             52             51
             42             42             52             38             50
              2             35             32             22             16
             56             53             42             40             32
             59             72             70             66             62
             28             50             50             42             63
             19             46             49             40             30
             36             56             56             54             52
             54             57             59             62             58
             14             35             38             29             20
