tapaID,userID,restID,globalRating,tapaRating,averageRatingTapaInTapa,averageRatingRestInTapa,popularityTapa,characterTapa
t1,u78,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u80,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u81,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u82,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u84,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u85,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u89,r1,4,5,4.38461538461539,4.28205128205128,39,Daring
t1,u91,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u92,r1,3,5,4.38461538461539,4.28205128205128,39,Daring
t1,u93,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u94,r1,4,3,4.38461538461539,4.28205128205128,39,Daring
t1,u96,r1,4,4,4.38461538461539,4.28205128205128,39,Daring
t1,u112,r1,3,4,4.38461538461539,4.28205128205128,39,Daring
t1,u355,r1,5,4,4.38461538461539,4.28205128205128,39,Daring
t1,u608,r1,2,2,4.38461538461539,4.28205128205128,39,Daring
t1,u887,r1,3,4,4.38461538461539,4.28205128205128,39,Daring
t1,u2100,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u2677,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u2679,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u2681,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u2682,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u2684,r1,4,4,4.38461538461539,4.28205128205128,39,Daring
t1,u2685,r1,2,4,4.38461538461539,4.28205128205128,39,Daring
t1,u2686,r1,5,4,4.38461538461539,4.28205128205128,39,Daring
t1,u2687,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u2689,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u2690,r1,4,4,4.38461538461539,4.28205128205128,39,Daring
t1,u2691,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u2692,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u2693,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u2694,r1,3,3,4.38461538461539,4.28205128205128,39,Daring
t1,u2697,r1,5,5,4.38461538461539,4.28205128205128,39,Daring
t1,u2698,r1,5,3,4.38461538461539,4.28205128205128,39,Daring
t1,u2699,r1,4,4,4.38461538461539,4.28205128205128,39,Daring
t1,u2700,r1,5,4,4.38461538461539,4.28205128205128,39,Daring
t1,u2701,r1,3,4,4.38461538461539,4.28205128205128,39,Daring
t1,u2702,r1,4,4,4.38461538461539,4.28205128205128,39,Daring
t10,u31,r6,5,4,4.0859375,4.4609375,128,Traditional
t102,u31,r53,5,5,3.30769230769231,4,26,Traditional
t105,u31,r54,4,4,4.36144578313253,4.48192771084337,83,Traditional
t107,u31,r56,5,4,3.92307692307692,4.21794871794872,78,Traditional
t11,u31,r7,4,4,4.49677419354839,4.5741935483871,155,Traditional
t13,u31,r9,5,5,3.71604938271605,4.1358024691358,81,Traditional
t46,u31,r25,5,5,4.52272727272727,4.79545454545455,44,Daring
t88,u31,r46,5,4,4.38518518518519,4.74074074074074,135,Traditional
t9,u31,r5,5,5,3.80681818181818,4,88,Traditional
t96,u31,r49,4,4,3.54545454545455,3.78787878787879,33,Daring
