Host Id;Neighbourhood Group
7549;Manhattan
9744;Brooklyn
17985;Manhattan
21207;Brooklyn
21207;Brooklyn
22486;Bookyn
22486;Brooklyn
22486;Brooklyn
25183;Bookyn
31374;Manhattan
32294;Manhattan
32169;Bookyn
32169;Brooklyn
32294;Manhattan
35935;Brooklyn
9744;Brooklyn
44145;Brooklyn
7549;Manhattan
46978;Manhattan
52335;Brooklyn
54275;Brooklyn
59734;Manhattan
32169;Brooklyn
61491;Manhattan
64442;Manhattan
68428;Manhattan
72014;Brooklyn
72014;Brooklyn
51038;Brooklyn
44145;Brooklyn
83257;Manhattan
87773;Brooklyn
32294;Manhattan
11481;Brooklyn
93790;Manhattan
87773;Brooklyn
59734;Manhattan
51038;Brooklyn
72062;Manhattan
72062;Manhattan
118971;Brooklyn
119588;Brooklyn
35935;Brooklyn
126607;Manhattan
137814;Brooklyn
137974;Brooklyn
116599;Brooklyn
137974;Brooklyn
72014;Brooklyn
149929;Brooklyn
92788;Manhattan
168417;Manhattan
168525;Brooklyn
170510;Brooklyn
137814;Brooklyn
11481;Brooklyn
190409;Bronx
72062;Manhattan
181376;Brooklyn
126607;Manhattan
67778;Brooklyn
204539;Queens
867225;Manhattan
209460;Brooklyn
210746;Brooklyn
9744;Brooklyn
236421;Manhattan
27848;Queens
204539;Queens
204539;Queens
204539;Queens
10889;Brooklyn
210746;Brooklyn
256161;Manhattan
190409;Bronx
168525;Brooklyn
256161;Manhattan
277379;Manhattan
204539;Queens
292204;Manhattan
256161;Manhattan
126607;Manhattan
297176;Manhattan
297769;Manhattan
303939;Staten Island
303939;Staten Island
303939;Staten Island
306545;Manhattan
306605;Manhattan
306739;Brooklyn
308875;Brooklyn
303939;Staten Island
308652;Brooklyn
295128;Bronx
310670;Bronx
170510;Brooklyn
306545;Manhattan
311286;Brooklyn
312288;Manhattan
312722;Brooklyn
311286;Brooklyn
314582;Brooklyn
46978;Manhattan
322716;Brooklyn
314941;Manhattan
327673;Brooklyn
329436;Brooklyn
323517;Manhattan
240427;Brooklyn
72062;Manhattan
361855;Manhattan
308875;Brooklyn
118971;Brooklyn
417504;Brooklyn
430188;Brooklyn
417504;Brooklyn
417504;Brooklyn
438133;Brooklyn
417504;Brooklyn
448312;Brooklyn
448312;Brooklyn
417504;Brooklyn
464506;Manhattan
322716;Brooklyn
116599;Brooklyn
209460;Brooklyn
25183;Brooklyn
116599;Brooklyn
31374;Manhattan
522065;Manhattan
417504;Brooklyn
251176;Manhattan
322716;Brooklyn
551055;Manhattan
306739;Brooklyn
181376;Brooklyn
