| 1712764489611 | 2024-04-10T15:54:49.611 | /                 | Mote1    | Mote       | temperature | float    | 366                  | [{"name":"temperatureUnit","type":"string","value":"celsius"}] |
| 1712764489611 | 2024-04-10T15:54:49.611 | /                 | Mote1    | Mote       | timeInstant | time     | 2024-04-15T14:00:00Z | [{"name":"timeInstantUnit","type":"string","value":"ISO8601"}] |
| 1712764489611 | 2024-04-10T15:54:49.611 | /                 | Mote1    | Mote       | temperature | float    | 366                  | [{"name":"temperatureUnit","type":"string","value":"celsius"}] |
| 1712764489611 | 2024-04-10T15:54:49.611 | /                 | Mote1    | Mote       | timeInstant | time     | 2024-04-15T14:00:00Z | [{"name":"timeInstantUnit","type":"string","value":"ISO8601"}] |
| 1712764503240 | 2024-04-10T15:55:03.240 | /                 | Mote1    | Mote       | temperature | float    | 377                  | [{"name":"temperatureUnit","type":"string","value":"celsius"}] |
| 1712764503240 | 2024-04-10T15:55:03.240 | /                 | Mote1    | Mote       | timeInstant | time     | 2024-04-15T15:00:00Z | [{"name":"timeInstantUnit","type":"string","value":"ISO8601"}] |
| 1712764503247 | 2024-04-10T15:55:03.247 | /                 | Mote1    | Mote       | temperature | float    | 377                  | [{"name":"temperatureUnit","type":"string","value":"celsius"}] |
| 1712764503247 | 2024-04-10T15:55:03.247 | /                 | Mote1    | Mote       | timeInstant | time     | 2024-04-15T15:00:00Z | [{"name":"timeInstantUnit","type":"string","value":"ISO8601"}] |
| 1712764649267 | 2024-04-10T15:57:29.267 | /                 | Mote1    | Mote       | temperature | float    | 388                  | [{"name":"temperatureUnit","type":"string","value":"celsius"}] |
| 1712764649267 | 2024-04-10T15:57:29.267 | /                 | Mote1    | Mote       | timeInstant | time     | 2024-04-15T16:00:00Z | [{"name":"timeInstantUnit","type":"string","value":"ISO8601"}] |
| 1712764649269 | 2024-04-10T15:57:29.269 | /                 | Mote1    | Mote       | temperature | float    | 388                  | [{"name":"temperatureUnit","type":"string","value":"celsius"}] |
| 1712764649269 | 2024-04-10T15:57:29.269 | /                 | Mote1    | Mote       | timeInstant | time     | 2024-04-15T16:00:00Z | [{"name":"timeInstantUnit","type":"string","value":"ISO8601"}] |
| 1712764649271 | 2024-04-10T15:57:29.271 | /                 | Mote1    | Mote       | temperature | float    | 388                  | [{"name":"temperatureUnit","type":"string","value":"celsius"}] |
| 1712764649271 | 2024-04-10T15:57:29.271 | /                 | Mote1    | Mote       | timeInstant | time     | 2024-04-15T16:00:00Z | [{"name":"timeInstantUnit","type":"string","value":"ISO8601"}] |
| 1712764661327 | 2024-04-10T15:57:41.327 | /                 | Mote1    | Mote       | temperature | float    | 399                  | [{"name":"temperatureUnit","type":"string","value":"celsius"}] |
| 1712764661327 | 2024-04-10T15:57:41.327 | /                 | Mote1    | Mote       | timeInstant | time     | 2024-04-15T17:00:00Z | [{"name":"timeInstantUnit","type":"string","value":"ISO8601"}] |
| 1712764661332 | 2024-04-10T15:57:41.332 | /                 | Mote1    | Mote       | temperature | float    | 399                  | [{"name":"temperatureUnit","type":"string","value":"celsius"}] |
| 1712764661332 | 2024-04-10T15:57:41.332 | /                 | Mote1    | Mote       | timeInstant | time     | 2024-04-15T17:00:00Z | [{"name":"timeInstantUnit","type":"string","value":"ISO8601"}] |
| 1712764661341 | 2024-04-10T15:57:41.341 | /                 | Mote1    | Mote       | temperature | float    | 399                  | [{"name":"temperatureUnit","type":"string","value":"celsius"}] |
| 1712764661341 | 2024-04-10T15:57:41.341 | /                 | Mote1    | Mote       | timeInstant | time     | 2024-04-15T17:00:00Z | [{"name":"timeInstantUnit","type":"string","value":"ISO8601"}] |
