pelicula,usuario,instante,voto
109445,104,2013-11-27 00:01:38,2.5
109445,151,2013-11-27 00:00:23,4.0
109445,173,2013-11-27 00:00:09,3.0
109445,432,2013-11-27 00:00:00,1.0
109445,442,2013-11-27 00:01:04,2.5
109445,553,2013-11-27 00:04:42,0.5
109445,832,2013-11-27 00:00:18,2.5
109445,1208,2013-11-27 00:01:30,4.0
109445,1220,2013-11-27 00:01:32,3.0
109445,1407,2013-11-27 00:00:29,3.0
109445,1784,2013-11-27 00:01:00,2.5
109445,1923,2013-11-27 00:01:17,4.5
109445,2115,2013-11-27 00:00:07,4.0
109445,2959,2013-11-27 00:01:08,4.0
109445,2987,2013-11-27 00:01:22,2.0
140823,1,2013-11-16 00:01:13,4.0
140823,11,2013-11-16 00:02:31,3.0
140823,17,2013-11-16 00:02:51,5.0
140823,28,2013-11-16 00:09:55,4.0
140823,32,2013-11-16 00:02:10,4.0
140823,34,2013-11-16 00:02:31,3.0
140823,40,2013-11-16 00:16:34,5.0
140823,46,2013-11-16 00:18:08,3.0
140823,58,2013-11-16 00:05:28,4.0
140823,72,2013-11-16 00:18:08,2.0
140823,85,2013-11-16 00:08:45,3.0
140823,105,2013-11-16 00:03:43,5.0
140823,107,2013-11-16 00:07:56,3.0
140823,141,2013-11-16 00:03:10,3.0
140823,144,2013-11-16 00:13:15,4.0
140823,150,2013-11-16 00:00:00,4.0
140823,164,2013-11-16 00:14:52,3.0
140823,186,2013-11-16 00:03:33,3.0
140823,195,2013-11-16 00:12:53,3.0
140823,222,2013-11-16 00:05:41,4.0
140823,225,2013-11-16 00:02:10,3.0
140823,249,2013-11-16 00:06:17,5.0
140823,253,2013-11-16 00:01:55,5.0
140823,257,2013-11-16 00:07:11,3.0
140823,265,2013-11-16 00:03:21,5.0
140823,272,2013-11-16 00:04:56,4.0
140823,275,2013-11-16 00:14:36,3.0
140823,277,2013-11-16 00:05:28,3.0
140823,300,2013-11-16 00:01:55,4.0
140823,318,2013-11-16 00:01:13,3.0
140823,329,2013-11-16 00:01:34,3.0
140823,337,2013-11-16 00:03:11,3.0
140823,339,2013-11-16 00:10:37,4.0
140823,340,2013-11-16 00:14:10,3.0
140823,349,2013-11-16 00:00:33,3.0
140823,410,2013-11-16 00:02:31,3.0
140823,588,2013-11-16 00:00:33,5.0
140823,590,2013-11-16 00:00:00,4.0
140823,595,2013-11-16 00:01:13,4.0
140823,720,2013-11-16 00:15:16,5.0
140823,741,2013-11-16 00:18:38,3.0
109491,4011,2013-11-19 23:45:26,4.0
109491,27721,2013-11-12 22:07:27,4.0
109491,54745,2013-11-04 22:11:36,3.5
109491,56145,2013-11-12 22:07:34,3.5
109491,56286,2013-11-04 22:10:59,3.0
109491,56941,2013-11-04 22:11:16,1.5
109491,57370,2013-11-12 22:07:17,3.0
109491,57910,2013-11-04 22:11:27,3.5
109491,59501,2013-11-19 23:44:44,4.0
77950,80549,2013-11-26 18:36:09,4.0
59859,27857,2013-11-20 16:44:59,4.5
59859,37733,2013-11-20 16:44:10,3.5
109414,25901,2013-11-09 04:51:58,3.5
109414,26901,2013-11-09 04:48:36,2.5
109414,27611,2013-11-09 04:44:28,4.0
109414,52435,2013-11-09 04:49:50,3.5
109414,63082,2013-11-09 04:44:53,4.5
109414,64497,2013-11-09 04:46:27,2.5
109414,64620,2013-11-21 20:58:59,3.5
208134,195,2013-11-05 00:56:32,3.0
208134,1784,2013-11-18 23:59:29,3.0
208134,1810,2013-11-30 23:46:32,3.0
208134,2432,2013-11-05 00:55:42,2.0
208134,3450,2013-11-05 00:57:03,3.0
22824,4034,2013-11-25 18:47:00,4.0
22824,4235,2013-11-25 18:20:26,4.5
22824,54997,2013-11-25 18:39:18,4.0
