"PATENT","GYEAR","GDATE","APPYEAR","COUNTRY","POSTATE","ASSIGNEE","ASSCODE","CLAIMS","NCLASS","CAT","SUBCAT","CMADE","CRECEIVE","RATIOCIT","GENERAL","ORIGINAL","FWDAPLAG","BCKGTLAG","SELFCTUB","SELFCTLB","SECDUPBD","SECDLWBD"
4101646,1978,6773,1972,"JP","",476180,3,4,424,3,31,1,3,1,0.6667,0,16,7,0,0,0,0
4186332,1980,7333,1978,"US","MA",219470,2,11,318,4,45,8,7,1,0.7755,0.625,11.8571,5.875,0.8571,0.75,0.3333,0.2857
4920512,1990,11071,1988,"JP","",379245,3,8,365,2,24,10,3,1,0,0.72,4.6667,5,0,0,0.3333,0.3333
3512825,1970,3791,1968,"ET","",,1,,296,5,55,,3,,0.4444,,18,,,,,
3797992,1974,5191,1972,"US","PA",112650,2,,431,6,66,,15,,0.1244,,10.8667,,,,0.0833,0.0667
5394547,1995,12842,1991,"US","FL",280070,2,10,395,2,22,10,11,1,0.7934,0.6,5.6364,4.6,0.2,0.2,0.5455,0.5455
4299230,1981,7984,1979,"JP","",417745,3,3,600,3,32,3,41,1,0.677,0.4444,13.0244,1.3333,0,0,0,0
4348596,1982,8285,1979,"US","NJ",466175,2,9,326,4,46,8,7,1,0.5714,0.4688,7.1429,5.375,0.375,0.375,0,0
4708861,1987,10189,1985,"US","NJ",339125,2,78,424,3,31,11,37,1,0.4076,0.6612,7.1622,6.6364,0,0,0.0286,0.027
4694033,1987,10119,1986,"NL","",155870,3,23,523,1,15,9,3,0.6667,0.4444,0.6111,3,14.7778,0,0,0,0
3087707,1963,1215,,"US","OH",,2,,366,1,19,,9,,0.7654,,,,,,,
5114044,1992,11827,1990,"US","CA",,1,15,222,1,19,10,4,0.9,0,0.642,6,13.2,,,,
4775172,1988,10504,1987,"DE","",465160,3,6,285,6,67,19,2,0.5789,0,0.1653,3.5,33.2632,0,0,0,0
5326076,1994,12604,1993,"US","NE",436615,2,10,269,6,69,23,0,0.0435,,0,,92.1304,0,0,,
4979948,1990,11316,1989,"US","IN",458550,2,22,606,3,32,5,80,1,0.6575,0.64,5.7625,3,0,0,0,0
4786608,1988,10553,1986,"US","FL",242085,2,17,438,4,46,5,15,1,0.5244,0,6.5333,3.6,0,0,0,0
4499670,1985,9181,1983,"NO","",127185,3,7,34,1,19,4,0,0.75,,0.4444,,20,0,0,,
4393370,1983,8593,1981,"JP","",395735,3,13,341,2,22,4,15,1,0.3378,0.375,10.3333,11.25,0,0,0.0667,0.0667
4757365,1988,10420,1987,"NL","",601715,2,10,257,4,46,6,3,1,0.4444,0.5,6,10.6667,0.1667,0.1667,0,0
3404349,1968,3196,1964,"US","NJ",,2,,372,4,42,,6,,0.2778,,18.1667,,,,,
5716375,1998,13920,1996,"US","WA",461630,2,32,606,3,32,49,0,0.9796,,0.6215,,9.2245,0.0345,0.0204,,
4224146,1980,7571,1978,"GB","",597665,3,5,209,5,51,11,4,0.1818,0.375,0.5,7.25,33,0,0,0,0
4574250,1986,9559,1981,"US","CA",278220,2,3,330,4,41,4,25,1,0.7136,0.375,10.28,12.75,0.5,0.25,0.0833,0.08
5817704,1998,14158,1996,"US","OH",454215,2,34,521,1,15,33,1,1,0,0.4555,0,10.1515,0.3704,0.303,0,0
5624483,1997,13633,1995,"JP","",77725,3,14,106,1,12,7,4,1,0.625,0.2449,1.75,8,0.1429,0.1429,0.5,0.5
4154645,1979,7074,1978,"FI","",603670,3,21,162,1,19,6,16,1,0,0,10.9375,4.1667,1,0.5,0.125,0.125
4737150,1988,10329,1986,"CH","",279690,3,6,604,3,32,7,17,0.5714,0.2145,0.375,5.7647,20.7143,0,0,0,0
4748846,1988,10385,1987,"US","NC",223735,2,12,73,4,43,23,26,0.913,0.4349,0.5125,4.8462,13.3478,0,0,0,0
5327842,1994,12611,1993,"US","WA",,1,20,114,5,55,7,1,1,0,0,1,5.8571,,,,
5237912,1993,12289,1992,"US","CA",,1,12,99,6,61,10,2,0.4,0,0.5,3,34.5,,,,
5368526,1994,12751,1994,"US","CT",,1,12,474,5,53,16,0,0.75,,0.4861,,24.4375,,,,
4846148,1989,10784,1988,"US","TX",426465,2,21,126,6,66,11,3,0.8182,0.4444,0.4938,8,14,0,0,0,0
4930581,1990,11113,1988,"US","NE",200190,2,8,172,6,64,23,21,0.8696,0.4036,0.59,4.619,15.7826,0,0,0,0
4734173,1988,10315,1986,"DE","",,5,8,205,1,19,7,8,1,0.7813,0.7347,7.625,13.7143,,,,
3936644,1976,5877,1974,"US","OH",218550,2,7,250,4,44,4,12,1,0.2778,0,7.5833,3.25,0.5,0.5,0.1818,0.1667
