unit,geo\time	2013M01 	2013M02 	2013M03 	2013M04 	2013M05 	2013M06 	2013M07 	2013M08 	2013M09 	2013M10 	2013M11 	2013M12 
I2010_SA,AT	104.70 p	104.70 p	104.20 p	105.40 p	107.40 p	105.00 p	106.60 p	106.70 p	106.40 p	105.90 p	107.60 p	106.10 p
I2010_SA,BE	108.41 p	106.59 p	107.01 p	106.15 p	108.59 p	109.61 p	110.85 p	108.78 p	106.97 p	106.68 p	108.04 p	107.53 p
I2010_SA,BG	105.21 	106.30 	108.35 	108.18 	108.40 	109.82 	110.26 	110.73 	111.42 	111.73 	111.82 	112.11 p
I2010_SA,CH	99.68 p	99.45 p	99.40 p	100.35 p	99.99 p	100.80 p	99.96 p	101.23 p	100.58 p	100.31 p	102.40 p	: 
I2010_SA,CY	: c	: c	: c	: c	: c	: c	: c	: c	: c	: cp	: cp	: cp
I2010_SA,CZ	103.22 p	102.04 p	103.85 p	100.65 p	102.60 p	100.74 p	101.56 p	102.45 p	102.01 p	100.98 p	103.73 p	102.74 p
I2010_SA,DE	106.80 p	106.10 p	105.90 p	106.20 p	107.30 p	106.50 p	106.40 p	106.40 p	106.40 p	106.00 p	107.00 p	104.50 p
I2010_SA,DK	98.70 	100.10 	99.40 	98.00 	98.90 	99.90 	98.90 	98.60 	98.70 	97.60 	98.90 	98.50 p
I2010_SA,EA17	101.72 	101.51 	101.36 	101.24 	102.42 	101.70 	102.14 	102.54 	101.84 	101.39 	102.26 	100.78 
I2010_SA,EE	123.90 s	121.40 s	125.28 s	123.72 s	126.80 s	122.73 s	124.88 s	125.78 s	124.84 s	127.20 s	127.94 s	125.33 s
I2010_SA,EL	75.41 s	75.66 s	77.27 s	74.85 s	79.29 s	76.47 s	73.89 s	75.99 s	75.77 s	75.31 s	75.88 ps	: cs
I2010_SA,ES	88.53 p	89.58 p	88.81 p	88.46 p	89.67 p	89.26 p	89.55 p	92.76 p	90.31 p	88.81 p	90.60 p	87.50 p
I2010_SA,EU15	102.18 	102.41 	102.28 	101.92 	103.26 	102.77 	103.34 	103.50 	103.08 	102.55 	103.33 	102.55 
I2010_SA,EU27	102.91 	103.06 	102.94 	102.57 	103.86 	103.41 	104.03 	104.21 	103.79 	103.26 	104.12 	103.38 s
I2010_SA,EU28	102.92 	103.07 	102.95 	102.58 	103.87 	103.42 	104.03 	104.22 	103.80 	103.25 	104.12 	103.38 s
I2010_SA,FI	109.80 	109.00 	111.20 	108.20 	111.00 	108.80 	109.40 	109.30 	110.40 	109.90 	110.20 	109.60 
I2010_SA,FR	105.20 	104.80 	104.90 	104.80 	106.10 	104.60 	106.60 	106.60 	105.80 	105.30 	105.80 	105.00 
I2010_SA,HR	104.30 	105.20 	104.40 	104.90 	106.00 	106.70 	105.20 	106.40 	104.50 	102.60 	103.20 	: cp
I2010_SA,HU	110.84 s	111.97 s	111.26 s	112.72 s	112.89 s	112.32 s	113.53 s	113.99 s	113.49 s	114.20 s	115.34 s	: 
I2010_SA,IE	99.48 	99.38 	98.58 	98.18 	99.18 	98.88 	100.08 	99.08 	98.48 	99.08 	99.38 	100.28 
I2010_SA,IT	100.14 s	100.56 s	100.10 s	100.20 s	100.34 s	100.24 s	99.84 s	100.10 s	99.66 s	99.48 s	99.81 s	: cs
I2010_SA,LT	123.04 	123.12 	124.51 	123.72 	126.99 	126.67 	127.14 	127.80 	127.62 	127.56 	128.26 	127.77 
I2010_SA,LU	155.74 s	157.65 s	157.50 s	161.26 s	161.11 s	163.54 s	163.59 s	166.25 s	166.70 s	168.74 s	172.00 s	172.42 s
I2010_SA,LV	120.58 	119.95 	121.00 	117.98 	121.27 	120.70 	123.01 	122.77 	122.97 	122.88 	124.33 	124.02 
I2010_SA,ME	149.02 s	142.28 s	144.79 s	145.14 s	144.45 s	144.27 s	147.42 s	149.95 s	152.41 s	155.51 s	152.70 s	153.60 s
I2010_SA,MT	107.89 p	111.83 p	111.51 p	105.66 p	107.71 p	107.50 p	107.86 p	108.88 p	108.34 p	107.14 p	106.61 p	106.91 p
